threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,1.0000004768371582,682484,361988,665315,311535,314623,147720,1662422,1,[1662422]
1,1,0,1.000000238418579,666202,353971,649251,303474,306929,143818,1622382,1,[1622382]
1,2,0,1.0000003576278687,669711,355690,652788,305219,308528,144614,1631027,1,[1631027]
2,0,0,1.0000008344650269,511271,276888,495973,226266,234074,107100,1241318,1,"[631002, 610316]"
2,1,0,1.0000026226043701,457238,250926,445888,200714,210364,94716,1113490,1,"[540044, 573446]"
2,2,0,1.0000007152557373,356598,202346,350942,151788,165474,71686,873014,1,"[367095, 505919]"
4,0,0,1.0000194311141968,194228,120844,187851,71149,89181,33727,471260,1,"[119261, 120624, 106925, 124450]"
4,1,0,1.0000065565109253,186397,116706,180105,67088,85023,31645,451525,1,"[113505, 118954, 101587, 117479]"
4,2,0,1.0000100135803223,205672,126646,199377,77072,94380,36101,499429,1,"[122786, 125424, 122807, 128412]"
8,0,0,1.0000239610671997,151068,98893,146749,50644,69657,24157,367474,1,"[45926, 44609, 45922, 46385, 45305, 46754, 45383, 47190]"
8,1,0,1.0000303983688354,134095,89891,130728,42896,61790,20277,326613,1,"[41695, 38072, 40077, 40698, 40477, 41761, 40956, 42877]"
8,2,0,1.0000287294387817,131310,88453,127708,41578,60447,19519,319465,1,"[42877, 37443, 39005, 39492, 39165, 40825, 38951, 41707]"
10,0,0,1.0000317096710205,125391,85280,122273,39023,57774,18426,305438,1,"[31398, 28262, 29775, 29674, 30064, 31203, 29851, 31495, 31943, 31773]"
10,1,0,1.0000282526016235,128338,86845,124221,39980,58569,18907,311128,1,"[30220, 29375, 30288, 32406, 29175, 33029, 31778, 30270, 32624, 31963]"
10,2,0,1.0000287294387817,124352,84869,121076,38515,57366,18291,302794,1,"[29629, 28528, 29417, 31661, 28592, 31495, 31870, 29703, 31198, 30701]"
20,0,0,1.0000512599945068,132262,88897,128595,41819,60670,19812,321527,1,"[15184, 15454, 15844, 17169, 15794, 16968, 16921, 16733, 17165, 16489, 15333, 15529, 16589, 15517, 15344, 15845, 16000, 15526, 16872, 15251]"
20,1,0,1.0000630617141724,128939,87142,125745,40557,59211,19079,313895,1,"[14781, 15016, 15053, 16584, 15025, 16248, 16468, 16557, 16531, 16325, 15213, 15373, 16564, 15305, 15204, 15502, 15369, 15390, 16748, 14639]"
20,2,0,1.0000417232513428,126464,86047,123014,39424,58383,18714,307861,1,"[14161, 14744, 15163, 15192, 15103, 15925, 15119, 15204, 16250, 15616, 16271, 15093, 15233, 16117, 14912, 15673, 14967, 16002, 14828, 16288]"
40,0,0,1.0001331567764282,129755,87499,125589,40598,59565,19269,314909,1,"[8377, 8158, 7585, 7611, 7644, 8164, 7797, 8511, 8241, 8312, 8405, 7839, 8111, 8316, 7657, 8082, 7626, 8492, 7790, 7589, 7494, 7659, 7592, 7699, 7701, 7529, 7763, 8286, 7371, 8078, 7684, 8389, 7683, 7681, 7353, 7760, 7579, 7391, 7833, 8077]"
40,1,0,1.000108242034912,126865,86094,122918,39493,58251,18843,308034,1,"[7431, 7830, 7610, 7502, 7597, 8112, 7428, 7991, 8104, 7963, 8060, 7548, 8029, 8010, 7556, 7904, 7727, 7827, 7430, 7475, 7488, 7358, 7846, 7386, 7648, 7421, 7574, 8130, 7520, 8016, 7730, 7830, 7530, 7518, 7409, 7748, 7454, 7383, 7973, 7938]"
40,2,0,1.0001224279403687,125302,85235,121786,38755,57500,18168,304588,1,"[7257, 7859, 7482, 7564, 7577, 7958, 7427, 7961, 7992, 7900, 7944, 7460, 7826, 8124, 7354, 7846, 7923, 7770, 7326, 7388, 7405, 7359, 7702, 7439, 7278, 7262, 7399, 7847, 7267, 8028, 7444, 7717, 7424, 7500, 7429, 7845, 7267, 7225, 7803, 8010]"
64,0,0,1.0005261898040771,125118,85342,121713,38855,57527,18315,304358,1,"[4674, 4847, 4593, 4467, 4330, 4434, 4904, 4997, 4790, 5029, 4706, 4880, 4648, 4675, 4887, 5043, 4791, 4861, 4747, 4691, 4517, 3760, 4636, 4896, 4569, 4676, 5079, 5116, 4613, 4831, 4619, 4800, 4692, 5002, 4634, 4888, 4709, 4972, 5000, 4902, 4845, 5047, 4885, 4910, 4431, 4133, 4876, 4752, 4946, 4714, 4628, 4796, 4890, 4838, 4956, 4789, 4955, 5106, 4637, 4749, 4144, 5049, 4724, 4653]"
64,1,0,1.0001639127731323,124005,84595,120398,38250,56798,18085,301201,1,"[3886, 4816, 4605, 4812, 4674, 4693, 4698, 4521, 4853, 4859, 4740, 4684, 4608, 4253, 4672, 4803, 4904, 4774, 4727, 4789, 4293, 4725, 4893, 4816, 4708, 4613, 4864, 4738, 4869, 4877, 4979, 4818, 4723, 4789, 4827, 4088, 4225, 4776, 4607, 4706, 4624, 4878, 4958, 4794, 4705, 4846, 4700, 4718, 4720, 5001, 4814, 4791, 4597, 4963, 4798, 4600, 4756, 4845, 4766, 4666, 3924, 4936, 4706, 4790]"
64,2,0,1.000515103340149,124226,84783,120539,38600,57092,18301,301857,1,"[4763, 4549, 4671, 4728, 4379, 4772, 4971, 4253, 4848, 4825, 4898, 4915, 4605, 4663, 4642, 4807, 4839, 4750, 4502, 4749, 5003, 4708, 4587, 4719, 4603, 4770, 4701, 4774, 4737, 4705, 4846, 4727, 4777, 4700, 4627, 4762, 4794, 4941, 4785, 4647, 4705, 4753, 5016, 4719, 4728, 4799, 4908, 5054, 4599, 4523, 4839, 4388, 4515, 4420, 4990, 4854, 4758, 4639, 4840, 4437, 4652, 4642, 4400, 4637]"
