threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.0,1024106,515202,931103,462778,7363727,3668902,9318936
2,0,5.000009536743164,570692,301400,529208,249525,4189174,1982558,5289074
4,0,5.000006675720215,242619,142730,219457,90570,1733614,716042,2195690
8,0,5.000026226043701,193848,119166,176357,68173,1392647,538592,1762852
10,0,5.000010967254639,194649,119331,176797,68196,1398190,540735,1769636
20,0,5.000035762786865,200919,122651,182957,71297,1440633,561871,1824509
40,0,5.000096321105957,188868,116607,171560,65764,1355433,519014,1715861
64,0,5.000396251678467,187819,116439,171400,65649,1346305,516477,1705524
