threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,average_operations_per_thread
1,0,1.0000003973642986,228234.66666666666,135927.66666666666,206956.0,83948.66666666667,1636762.3333333333,665581.6666666666,2071953.0,True,[2071953.0]
2,0,1.0000016291936238,124323.0,83950.33333333333,110694.33333333333,36133.333333333336,871779.6666666666,284143.6666666667,1106797.0,True,"[503272.3333333333, 603524.6666666666]"
4,0,1.0000094970067341,48799.666666666664,39874.0,43798.0,8049.0,346380.3333333333,63841.333333333336,438978.0,True,"[114955.66666666667, 119016.66666666667, 92208.0, 112797.66666666667]"
8,0,1.000017563501994,46086.0,37924.0,41418.0,7243.333333333333,327847.3333333333,57886.333333333336,415351.3333333333,True,"[52077.0, 52671.666666666664, 51004.666666666664, 52484.666666666664, 50737.333333333336, 52753.333333333336, 52302.0, 51320.666666666664]"
10,0,1.000024716059367,39528.333333333336,33336.666666666664,35366.666666666664,5543.666666666667,280199.6666666667,43716.0,355094.6666666667,True,"[35836.666666666664, 35660.0, 34836.666666666664, 35228.333333333336, 35199.666666666664, 35327.0, 35712.0, 35257.666666666664, 35861.333333333336, 36175.333333333336]"
20,0,1.0000462532043457,39177.666666666664,33070.0,35083.0,5420.0,277676.3333333333,42995.666666666664,351937.0,True,"[17877.0, 17625.666666666668, 17378.0, 17652.0, 17588.0, 17501.333333333332, 17772.666666666668, 17377.333333333332, 17446.666666666668, 17687.0, 17884.0, 17488.666666666668, 17652.666666666668, 17584.666666666668, 17451.333333333332, 17876.333333333332, 17393.666666666668, 17473.0, 17553.333333333332, 17673.666666666668]"
40,0,1.0000955661137898,37616.666666666664,31952.666666666668,33777.666666666664,5080.0,268037.6666666667,40128.0,339432.0,True,"[8466.333333333334, 8551.0, 8648.0, 8498.666666666666, 8482.0, 8563.0, 8587.0, 8433.0, 8314.0, 8398.666666666666, 8550.0, 8557.333333333334, 8513.333333333334, 8593.333333333334, 8480.0, 8541.333333333334, 8410.333333333334, 8441.0, 8483.333333333334, 8561.666666666666, 8541.666666666666, 8530.0, 8372.666666666666, 8487.333333333334, 8462.0, 8343.333333333334, 8521.0, 8484.333333333334, 8431.333333333334, 8574.666666666666, 8445.666666666666, 8458.333333333334, 8538.0, 8371.0, 8486.0, 8488.666666666666, 8481.0, 8517.666666666666, 8354.666666666666, 8469.333333333334]"
64,0,1.0004692872365315,37481.333333333336,31871.666666666668,33677.0,5098.0,265510.0,39597.0,336668.3333333333,True,"[5341.666666666667, 5330.666666666667, 5298.333333333333, 5308.666666666667, 5235.0, 5287.333333333333, 5407.0, 5418.333333333333, 5151.0, 5178.333333333333, 5323.666666666667, 5284.0, 5279.666666666667, 5095.666666666667, 5319.333333333333, 5272.333333333333, 5267.666666666667, 5184.0, 5192.333333333333, 5144.0, 5272.0, 5284.333333333333, 5247.0, 5142.333333333333, 5296.333333333333, 5404.333333333333, 5278.333333333333, 5273.333333333333, 5170.0, 5340.333333333333, 5261.0, 5238.333333333333, 5338.0, 5238.333333333333, 5385.333333333333, 5285.666666666667, 5298.333333333333, 5198.333333333333, 5297.333333333333, 5202.0, 5216.333333333333, 5300.666666666667, 5262.666666666667, 5335.0, 5306.0, 5188.333333333333, 5293.666666666667, 5103.666666666667, 5071.333333333333, 5241.666666666667, 5235.666666666667, 5315.333333333333, 5189.333333333333, 5122.333333333333, 5206.0, 5365.333333333333, 5303.666666666667, 5351.0, 5186.666666666667, 5300.0, 5255.333333333333, 5276.333333333333, 5287.333333333333, 5184.666666666667]"
