threads,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,1.000000238418579,203019.0,123518.0,184271.0,72186.0,1455196.0,571731.0,1842486.0
2,1.0000004768371582,224593.0,133796.0,202718.0,81861.0,1600981.0,649974.0,2028292.0
4,1.0000056028366089,208473.0,126509.0,188928.0,75032.0,1487750.0,588385.0,1885151.0
8,1.0000286102294922,187786.0,116154.0,169639.0,65284.0,1340164.0,512602.0,1697589.0
10,1.0000663995742798,180278.0,112402.0,162894.0,61574.0,1286844.0,485857.0,1630016.0
20,1.0000725984573364,146521.0,95276.0,131685.0,45944.0,1039867.0,363541.0,1318073.0
40,1.000339150428772,91582.0,65978.0,82530.0,22689.0,651077.0,181171.0,825189.0
64,1.0002858638763428,86306.0,63051.0,77215.0,20727.0,610641.0,163501.0,774162.0
