threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,average_operations_per_thread
1,0,5.0,1282899.3333333333,638979.0,1166442.0,586494.6666666666,9216613.333333334,4631331.333333333,11665954.666666666,True,[11665954.666666666]
2,0,5.000001748402913,548236.3333333334,288382.6666666667,498005.6666666667,236163.66666666666,3937136.6666666665,1867475.6666666667,4983378.666666667,True,"[3153045.6666666665, 1830333.0]"
4,0,5.00000540415446,381909.6666666667,209518.33333333334,347430.0,157083.33333333334,2743927.0,1242841.0,3473266.6666666665,True,"[1071093.3333333333, 489947.6666666667, 752884.0, 1159341.6666666667]"
8,0,5.000014781951904,382819.3333333333,209723.0,347829.0,157335.0,2750379.3333333335,1245890.6666666667,3481027.6666666665,True,"[292603.0, 52285.333333333336, 549645.0, 411665.6666666667, 696486.0, 729068.6666666666, 512005.6666666667, 237268.33333333334]"
10,0,5.000018914540608,317422.0,178827.33333333334,288533.0,126603.0,2276723.6666666665,996795.6666666666,2882678.6666666665,True,"[40634.666666666664, 36651.333333333336, 116907.0, 789439.3333333334, 53706.666666666664, 40410.666666666664, 965156.6666666666, 316101.0, 485438.6666666667, 38232.666666666664]"
20,0,5.000054677327474,398473.6666666667,217505.33333333334,361937.0,164997.66666666666,2859641.6666666665,1303551.3333333333,3620052.3333333335,True,"[31911.666666666668, 42168.666666666664, 6146.666666666667, 30905.0, 547010.0, 25110.0, 90447.0, 27587.0, 92143.33333333333, 471179.0, 221018.66666666666, 21536.0, 515810.6666666667, 103637.33333333333, 357479.6666666667, 100401.33333333333, 6716.333333333333, 30614.666666666668, 529420.3333333334, 368809.0]"
40,0,5.0001594225565595,501470.3333333333,266387.6666666667,455608.0,214134.66666666666,3600138.3333333335,1691849.6666666667,4557216.666666667,True,"[708.6666666666666, 5570.666666666667, 701.0, 5449.0, 4668.0, 740.0, 8358.333333333334, 722.0, 1094.0, 7214.333333333333, 34445.666666666664, 872.0, 1348987.0, 21388.0, 267127.3333333333, 1103.6666666666667, 359.6666666666667, 737.3333333333334, 1016.3333333333334, 419.6666666666667, 6169.666666666667, 40037.0, 1855160.0, 1409.6666666666667, 2853.3333333333335, 5975.333333333333, 85063.0, 8465.0, 2037.3333333333333, 14399.666666666666, 4427.333333333333, 1640.0, 239965.66666666666, 536499.0, 8604.333333333334, 1151.6666666666667, 7894.666666666667, 11678.666666666666, 11872.333333333334, 230.33333333333334]"
64,0,5.000213781992595,397246.3333333333,217019.33333333334,361437.6666666667,164703.33333333334,2854374.0,1300347.0,3613058.0,True,"[349.0, 400.6666666666667, 1324.0, 7718.0, 1622.6666666666667, 470.3333333333333, 2452.6666666666665, 2753.0, 1657.6666666666667, 172.0, 281.6666666666667, 643.3333333333334, 305842.3333333333, 8080.666666666667, 491749.0, 604.3333333333334, 1848.0, 906.3333333333334, 3148.0, 757.0, 13009.0, 239028.33333333334, 410154.6666666667, 7329.333333333333, 5557.0, 4516.333333333333, 497180.6666666667, 7517.333333333333, 545.3333333333334, 536.0, 603.0, 3612.6666666666665, 4734.333333333333, 419570.3333333333, 8437.666666666666, 1503.0, 6350.666666666667, 257426.0, 14565.0, 1686.3333333333333, 1409.6666666666667, 990.3333333333334, 235.33333333333334, 285409.3333333333, 2037.6666666666667, 6321.0, 2283.6666666666665, 2385.3333333333335, 6510.666666666667, 2667.6666666666665, 165201.0, 2336.6666666666665, 1011.0, 4817.666666666667, 482.3333333333333, 200852.33333333334, 1268.0, 2768.3333333333335, 1645.0, 2934.0, 170568.33333333334, 5253.333333333333, 1405.3333333333333, 5620.333333333333]"
