threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.0000053644180298,228310,136004,207284,84328,1638809,665839,2074403
2,0,1.0000009536743164,233418,138504,211923,86907,1671575,682532,2116916
4,0,1.0000028610229492,170753,107794,154548,57509,1218436,450952,1543737
8,0,1.0000232458114624,110587,76867,99601,30556,786084,242223,996272
10,0,1.0001393556594849,107688,75083,96924,29464,766330,233284,970942
20,0,1.0000641345977783,99356,70660,89485,26005,706029,204598,894870
40,0,1.0001369714736938,98067,69805,88371,25333,697308,202177,883746
64,0,1.000283122062683,97326,69470,87562,25127,691370,199079,876258
