threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,1.0000001192092896,275973,159143,250780,107023,1986809,843565,2513562,[2513562]
1,1,0,1.0000001192092896,279239,160704,253673,108533,2010126,855730,2543038,[2543038]
1,2,0,1.0000003576278687,278674,160435,253169,108262,2006096,853641,2537939,[2537939]
2,0,0,1.0000122785568237,156664,100546,141602,50680,1122404,401864,1420670,"[739780, 680890]"
2,1,0,1.0000054836273193,96533,69325,87703,25051,691347,196661,875583,"[678481, 197102]"
2,2,0,1.0000046491622925,98183,69842,88924,25599,702304,201355,889411,"[691982, 197429]"
4,0,0,1.0000038146972656,71895,54630,65071,15460,514510,122386,651476,"[165468, 52410, 201389, 232209]"
4,1,0,1.0000038146972656,53193,42865,48114,9296,380635,74267,481942,"[136317, 84182, 120876, 140567]"
4,2,0,1.0000052452087402,53246,42818,48218,9414,381482,74066,482946,"[137249, 83582, 121044, 141071]"
8,0,0,1.000013828277588,86336,63277,78687,21007,618975,165326,783998,"[281300, 128712, 27025, 217539, 57899, 22507, 43830, 5186]"
8,1,0,1.0000128746032715,81966,60701,74693,19441,590994,152328,747653,"[248682, 150391, 20252, 244704, 65852, 3349, 10053, 4370]"
8,2,0,1.0000187158584595,80692,59945,73840,18804,581926,149514,736458,"[244713, 167701, 18753, 96284, 46222, 4868, 152864, 5053]"
10,0,0,1.000020980834961,86025,62956,78195,20589,615507,164037,779727,"[56393, 126464, 534, 2451, 364, 1495, 286300, 4003, 17736, 283987]"
10,1,0,1.000025749206543,80062,59342,72759,18515,574960,146793,727781,"[82284, 129180, 1006, 3808, 817, 3358, 249207, 6324, 5359, 246438]"
10,2,0,1.0000154972076416,79495,59192,72393,18445,572080,144881,723968,"[86527, 81553, 1526, 16120, 32485, 3564, 247293, 6592, 4140, 244168]"
20,0,0,1.0000680685043335,101180,71594,92077,26924,726293,211607,919550,"[9371, 136, 261, 3214, 5211, 21034, 144766, 191, 96, 265531, 1337, 244039, 9781, 6227, 8863, 28717, 137596, 8381, 2785, 22013]"
20,1,0,1.000063180923462,99737,70770,90250,26241,714991,207252,904978,"[13477, 72, 154, 1624, 18769, 478, 11323, 213, 601, 407398, 392, 409384, 167, 2811, 13246, 2824, 47, 2932, 18883, 183]"
20,2,0,1.0000686645507812,100044,70776,90480,26156,715208,208443,905732,"[13879, 48, 200, 1112, 21359, 410, 11165, 240, 1257, 406231, 367, 408351, 129, 1257, 13642, 1208, 63, 3157, 21461, 196]"
40,0,0,1.000150203704834,91184,66080,83276,23179,656206,180261,830666,"[1377, 140, 134, 1858, 1225, 4595, 3142, 513, 400, 122572, 224, 62676, 125, 809, 690, 4750, 1348, 1484, 694, 101, 1210, 134262, 2133, 1614, 1101, 125833, 1083, 770, 1984, 470, 90193, 857, 129684, 575, 17639, 286, 975, 590, 108955, 1595]"
40,1,0,1.0001399517059326,96541,68942,87807,25036,691858,196437,876206,"[2141, 63, 161, 1394, 2533, 1926, 165, 332, 133, 142625, 52, 62, 52, 259, 1227, 2123, 1988, 2195, 1186, 177, 2018, 148304, 1564, 2496, 750, 141437, 1820, 89, 134, 978, 133203, 260, 145411, 425, 2906, 177, 88, 1820, 131080, 452]"
40,2,0,1.0001261234283447,97317,69380,88182,25128,695986,199144,881485,"[2318, 137, 83, 1786, 3598, 2699, 73, 673, 150, 382721, 98, 134, 115, 108, 1367, 2998, 72, 2563, 2480, 342, 1748, 1321, 2005, 2660, 996, 24551, 1716, 393, 151, 1730, 382771, 109, 25564, 914, 4051, 344, 396, 2492, 22518, 540]"
64,0,0,1.0002062320709229,77753,58135,70576,17764,558910,139821,707239,"[3008, 475, 177, 2050, 531, 387, 95, 424, 199, 42182, 544, 152, 937, 60, 977, 589, 181, 351, 8922, 212, 810, 240, 1552, 715, 2356, 86617, 327, 271, 445, 161, 89353, 326, 110195, 84, 1353, 997, 53, 204, 603, 219, 2573, 541, 1474, 766, 1109, 468, 1810, 610, 3945, 145, 48, 47738, 180, 150, 283, 1215, 1177, 549, 514, 3907, 84323, 92664, 100182, 1534]"
64,1,0,1.0005576610565186,76792,57743,69750,17398,551412,137461,697954,"[1685, 14544, 13210, 16192, 3635, 497, 15316, 12086, 83, 44913, 454, 101, 690, 99, 508, 987, 135, 159, 611, 116, 767, 43, 2379, 811, 1283, 74528, 239, 135, 454, 159, 82220, 468, 94207, 119, 1390, 8346, 208, 167, 285, 2830, 3104, 454, 1121, 921, 947, 426, 1018, 864, 1528, 50, 5, 35126, 377, 338, 36, 1017, 515, 297, 389, 2466, 73341, 88712, 85935, 1908]"
64,2,0,1.0003615617752075,77940,58443,71248,18016,560930,140430,710118,"[104854, 694, 93488, 94347, 71874, 304, 106342, 57462, 67, 85030, 353, 57, 98, 268, 506, 261, 219, 338, 425, 197, 643, 322, 1176, 2551, 57, 1615, 947, 377, 1969, 101, 765, 276, 1156, 100, 97, 41962, 3009, 893, 215, 2615, 531, 608, 486, 304, 795, 2074, 51, 1104, 545, 145, 26, 884, 2464, 334, 612, 598, 186, 13324, 194, 3905, 233, 1441, 585, 659]"
