threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,average_operations_per_thread
1,0,1.0000001986821492,277962.0,160094.0,252540.66666666666,107939.33333333333,2001010.3333333333,850978.6666666666,2531513.0,[2531513.0]
2,0,1.0000074704488118,117126.66666666667,79904.33333333333,106076.33333333333,33776.666666666664,838685.0,266626.6666666667,1061888.0,"[703414.3333333334, 358473.6666666667]"
4,0,1.0000042915344238,59444.666666666664,46771.0,53801.0,11390.0,425542.3333333333,90239.66666666667,538788.0,"[146344.66666666666, 73391.33333333333, 147769.66666666666, 171282.33333333334]"
8,0,1.000015139579773,82998.0,61307.666666666664,75740.0,19750.666666666668,597298.3333333334,155722.66666666666,756036.3333333334,"[258231.66666666666, 148934.66666666666, 22010.0, 186175.66666666666, 56657.666666666664, 10241.333333333334, 68915.66666666667, 4869.666666666667]"
10,0,1.0000207424163818,81860.66666666667,60496.666666666664,74449.0,19183.0,587515.6666666666,151903.66666666666,743825.3333333334,"[75068.0, 112399.0, 1022.0, 7459.666666666667, 11222.0, 2805.6666666666665, 260933.33333333334, 5639.666666666667, 9078.333333333334, 258197.66666666666]"
20,0,1.0000666379928589,100320.33333333333,71046.66666666667,90935.66666666667,26440.333333333332,718830.6666666666,209100.66666666666,910086.6666666666,"[12242.333333333334, 85.33333333333333, 205.0, 1983.3333333333333, 15113.0, 7307.333333333333, 55751.333333333336, 214.66666666666666, 651.3333333333334, 359720.0, 698.6666666666666, 353924.6666666667, 3359.0, 3431.6666666666665, 11917.0, 10916.333333333334, 45902.0, 4823.333333333333, 14376.333333333334, 7464.0]"
40,0,1.000138759613037,95014.0,68134.0,86421.66666666667,24447.666666666668,681350.0,191947.33333333334,862785.6666666666,"[1945.3333333333333, 113.33333333333333, 126.0, 1679.3333333333333, 2452.0, 3073.3333333333335, 1126.6666666666667, 506.0, 227.66666666666666, 215972.66666666666, 124.66666666666667, 20957.333333333332, 97.33333333333333, 392.0, 1094.6666666666667, 3290.3333333333335, 1136.0, 2080.6666666666665, 1453.3333333333333, 206.66666666666666, 1658.6666666666667, 94629.0, 1900.6666666666667, 2256.6666666666665, 949.0, 97273.66666666667, 1539.6666666666667, 417.3333333333333, 756.3333333333334, 1059.3333333333333, 202055.66666666666, 408.6666666666667, 100219.66666666667, 638.0, 8198.666666666666, 269.0, 486.3333333333333, 1634.0, 87517.66666666667, 862.3333333333334]"
64,0,1.0003751516342163,77495.0,58107.0,70524.66666666667,17726.0,557084.0,139237.33333333334,705103.6666666666,"[36515.666666666664, 5237.666666666667, 35625.0, 37529.666666666664, 25346.666666666668, 396.0, 40584.333333333336, 23324.0, 116.33333333333333, 57375.0, 450.3333333333333, 103.33333333333333, 575.0, 142.33333333333334, 663.6666666666666, 612.3333333333334, 178.33333333333334, 282.6666666666667, 3319.3333333333335, 175.0, 740.0, 201.66666666666666, 1702.3333333333333, 1359.0, 1232.0, 54253.333333333336, 504.3333333333333, 261.0, 956.0, 140.33333333333334, 57446.0, 356.6666666666667, 68519.33333333333, 101.0, 946.6666666666666, 17101.666666666668, 1090.0, 421.3333333333333, 367.6666666666667, 1888.0, 2069.3333333333335, 534.3333333333334, 1027.0, 663.6666666666666, 950.3333333333334, 989.3333333333334, 959.6666666666666, 859.3333333333334, 2006.0, 113.33333333333333, 26.333333333333332, 27916.0, 1007.0, 274.0, 310.3333333333333, 943.3333333333334, 626.0, 4723.333333333333, 365.6666666666667, 3426.0, 52632.333333333336, 60939.0, 62234.0, 1367.0]"
