threads,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,1.0000008344650269,276115.0,158956.0,251024.0,107083.0,1984731.0,845061.0,2511870.0
2,1.0000005960464478,184984.0,114711.0,167866.0,63906.0,1322884.0,504817.0,1675734.0
4,1.0000032186508179,103807.0,73000.0,93380.0,27662.0,737529.0,219501.0,934716.0
8,1.0000163316726685,101186.0,71603.0,91167.0,26865.0,721786.0,212288.0,914139.0
10,1.0000200271606445,84140.0,61991.0,75325.0,19908.0,597321.0,158618.0,756786.0
20,1.0000725984573364,103523.0,73028.0,93494.0,27756.0,737980.0,220072.0,934997.0
40,1.0001704692840576,88528.0,64497.0,79438.0,21742.0,629011.0,171109.0,796977.0
64,1.000391960144043,80593.0,59833.0,72172.0,18545.0,572891.0,147618.0,725656.0
