threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.000000953674316,763105,391334,694056,338977,5484929,2678076,6942090
2,0,5.000868320465088,625495,325586,567780,273188,4489848,2159719,5683123
4,0,5.000004768371582,254970,148647,230806,96832,1825696,763522,2311472
8,0,5.000038146972656,353293,195737,320629,143432,2532158,1136423,3206080
10,0,5.000034809112549,469887,250917,425692,198457,3367455,1573814,4263034
20,0,5.000076770782471,416743,226381,379445,174070,2993972,1372642,3790160
40,0,5.000152111053467,430147,232255,390142,179796,3086966,1424495,3907255
64,0,5.000284671783447,429862,232722,391555,180171,3089375,1422588,3910792
