threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.0,678734,350950,616820,298628,4873819,2358856,6169373
2,0,5.000001430511475,678505,351176,616406,298888,4868454,2356088,6163365
4,0,5.000004768371582,458464,245484,415525,192887,3287766,1528606,4161755
8,0,5.0000224113464355,307431,173840,278998,121648,2203841,959355,2790270
10,0,5.001323223114014,331186,185147,300623,132791,2377157,1052081,3008966
20,0,5.000092029571533,281356,161322,255027,109286,2022506,866781,2558889
40,0,5.001018524169922,372242,204838,337547,152438,2665120,1202012,3374909
