threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.0000008344650269,276115,158956,251024,107083,1984731,845061,2511870
2,0,1.0000005960464478,184984,114711,167866,63906,1322884,504817,1675734
4,0,1.0000032186508179,103807,73000,93380,27662,737529,219501,934716
8,0,1.0000163316726685,101186,71603,91167,26865,721786,212288,914139
10,0,1.0000200271606445,84140,61991,75325,19908,597321,158618,756786
20,0,1.0000725984573364,103523,73028,93494,27756,737980,220072,934997
40,0,1.0001704692840576,88528,64497,79438,21742,629011,171109,796977
64,0,1.000391960144043,80593,59833,72172,18545,572891,147618,725656
