threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,5.0,1262060,628862,1147187,576700,9069856,4549794,11479103,[11479103]
1,1,0,5.000000476837158,1278193,636478,1161761,584335,9186040,4610413,11625994,[11625994]
1,2,0,5.000000476837158,1277630,636228,1161195,584025,9181621,4608162,11620446,[11620446]
2,0,0,5.000000476837158,721158,370415,653872,318226,5175557,2515954,6550587,"[3299581, 3251006]"
2,1,0,5.000009536743164,458143,245290,416752,193089,3295489,1527947,4170384,"[2719084, 1451300]"
2,2,0,5.000009059906006,434403,233951,394899,181599,3121317,1438296,3950619,"[2791276, 1159343]"
4,0,0,5.000003337860107,378176,207299,343967,154906,2717162,1226334,3439305,"[1090475, 42593, 1150252, 1155985]"
4,1,0,5.000004291534424,372372,204739,338128,152445,2674289,1203361,3384789,"[1097551, 165514, 1017245, 1104479]"
4,2,0,5.000003814697266,299849,170235,272306,117966,2155379,933900,2727534,"[847719, 412698, 609097, 858020]"
8,0,0,5.000021457672119,404609,220008,367544,167624,2908423,1325689,3680576,"[1063285, 788266, 236948, 34594, 227198, 543274, 69907, 717104]"
8,1,0,5.000019550323486,379952,207982,344998,155638,2729001,1232858,3453951,"[58254, 1102143, 1138241, 26387, 1104353, 5545, 13033, 5995]"
8,2,0,5.000015735626221,380631,209057,345118,156618,2732800,1238068,3458549,"[239898, 1099540, 967693, 26157, 1098613, 5459, 15360, 5829]"
10,0,0,5.000025749206543,391386,213834,355597,161496,2816529,1281148,3563512,"[73985, 794389, 20649, 8790, 803887, 1948, 18118, 2804, 500362, 1338580]"
10,1,0,5.000030517578125,377147,206992,342754,154722,2710851,1223544,3430752,"[39332, 611580, 130958, 29068, 857138, 329071, 19754, 492481, 234523, 686847]"
10,2,0,5.0000224113464355,374359,205166,339709,152871,2687871,1212750,3401939,"[48798, 3293, 16905, 37445, 1031113, 1063402, 8130, 1174324, 2917, 15612]"
20,0,0,5.000069618225098,509156,270243,463008,217966,3656986,1716502,4629150,"[5271, 18747, 3225, 23649, 350098, 254822, 1273719, 314047, 29021, 24521, 6335, 109119, 344666, 149275, 28958, 1286547, 5967, 43137, 18007, 340019]"
20,1,0,5.000060081481934,527761,278520,478980,226222,3788984,1786677,4795725,"[1799, 3296, 375, 15490, 5461, 233535, 605, 6498, 37894, 5933, 6533, 2109907, 367, 233622, 471, 2109761, 15428, 1584, 1474, 5692]"
20,2,0,5.00006628036499,528577,278932,479877,226834,3793063,1790396,4801517,"[1614, 9445, 9401, 3891, 28724, 336040, 1474, 1452176, 41790, 2515, 2106, 541705, 5924, 335068, 1829, 541187, 3999, 1291716, 186090, 4823]"
40,0,0,5.000141143798828,487723,259338,443012,206993,3500982,1636879,4431717,"[4322, 3915, 241380, 289, 17250, 14176, 1495, 257937, 1495977, 1053731, 695, 1740, 13697, 14171, 774, 576, 9397, 334375, 15508, 15715, 3916, 8091, 17854, 443957, 574, 766, 6292, 743, 1319, 985, 1338, 3258, 5020, 2269, 9753, 63345, 24197, 337731, 665, 2524]"
40,1,0,5.000138282775879,503237,266967,456921,214618,3612948,1695706,4573106,"[4598, 4502, 12691, 268, 12350, 14639, 1656, 61432, 2080459, 2080549, 1015, 1656, 16053, 16332, 640, 1121, 12613, 79439, 17863, 13508, 734, 9066, 12681, 2623, 683, 1497, 5207, 841, 1591, 650, 1494, 1118, 518, 2045, 10755, 642, 7812, 77345, 534, 1886]"
40,2,0,5.000290393829346,502224,266343,456404,213927,3608847,1695374,4567475,"[5067, 5380, 11814, 346, 11815, 14766, 1173, 88887, 2021623, 1983087, 1110, 1078, 18499, 18693, 706, 27159, 12798, 104412, 60294, 12515, 917, 9914, 11915, 2542, 750, 1303, 5776, 1358, 1454, 417, 1251, 801, 31694, 2338, 11854, 462, 7905, 71196, 684, 1722]"
64,0,0,5.000182628631592,381718,209526,347128,157175,2744474,1240759,3473320,"[4029, 4013, 7923, 296416, 2620, 12654, 2851, 201434, 521115, 288868, 3482, 192266, 5122, 2154, 421877, 435258, 9750, 204666, 507770, 9935, 4366, 392, 2653, 195752, 825, 2924, 1958, 13155, 125, 6884, 551, 1657, 15844, 2053, 5315, 713, 4526, 9338, 121, 1241, 3957, 9585, 1675, 869, 2692, 7463, 2807, 3915, 799, 943, 4102, 1907, 664, 659, 5990, 1218, 2653, 4781, 4597, 2383, 1133, 443, 3080, 409]"
64,1,0,5.000192642211914,387084,211838,352106,159448,2783451,1262756,3522641,"[4416, 2657, 9549, 530857, 2794, 13240, 1563, 200735, 10029, 489992, 4357, 495654, 1613, 1814, 445907, 146686, 10148, 206652, 518731, 7922, 5689, 183, 2896, 2457, 988, 2498, 1627, 4132, 77, 7257, 656, 1856, 3864, 206, 3926, 716, 4684, 5538, 85, 1040, 4091, 6957, 693, 623, 1239, 5916, 1918, 12451, 881, 6801, 2995, 393, 576, 478, 6199, 897, 2668, 303334, 3237, 2479, 530, 279, 1086, 229]"
64,2,0,5.000192642211914,383925,209912,348640,157764,2759140,1249954,3491705,"[5263, 6111, 10314, 523377, 2977, 14145, 1916, 195914, 9452, 483878, 4811, 487772, 1837, 2043, 440363, 6306, 10868, 204788, 514938, 8791, 4478, 260, 2532, 2293, 2439, 2739, 1765, 3594, 119, 7473, 495, 1594, 4806, 315, 4511, 819, 5074, 6120, 120, 1492, 4660, 1039, 922, 900, 1774, 6543, 2354, 3036, 1009, 7157, 2776, 453, 778, 688, 6957, 1132, 9862, 436797, 3532, 2995, 752, 406, 1272, 5009]"
