threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,1.0000003576278687,271806,156828,247031,105016,1952755,828608,2471592,1,[2471592]
1,1,0,1.0000004768371582,273196,157514,248278,105662,1962680,833753,2484154,1,[2484154]
1,2,0,1.0000003576278687,273220,157524,248313,105678,1962893,833862,2484426,1,[2484426]
2,0,0,1.0000131130218506,200836,122537,182044,71442,1436268,563074,1819148,1,"[908121, 911027]"
2,1,0,1.0000008344650269,202774,123575,184229,72468,1450867,568403,1837870,1,"[917068, 920802]"
2,2,0,1.0000007152557373,202006,123153,183959,72146,1448290,566593,1834255,1,"[914659, 919596]"
4,0,0,1.0000041723251343,112668,77761,101997,31453,804781,249402,1019446,1,"[324912, 271661, 343112, 79761]"
4,1,0,1.0000039339065552,74981,56537,67191,16518,532969,131703,675141,1,"[212828, 209225, 203609, 49479]"
4,2,0,1.0000091791152954,91351,66167,82298,22805,647930,180086,821579,1,"[249092, 259613, 66026, 246848]"
8,0,0,1.0000134706497192,86457,63518,78155,21008,618830,166233,783442,1,"[224444, 210008, 21814, 51904, 68249, 127018, 42204, 37801]"
8,1,0,1.000016212463379,76280,57378,68405,16985,542856,135657,687541,1,"[55822, 187322, 26329, 121669, 151745, 131242, 7350, 6062]"
8,2,0,1.000019907951355,71726,54536,64701,15533,512270,123066,648697,1,"[18969, 202507, 30852, 5852, 194410, 11776, 178696, 5635]"
10,0,0,1.0000172853469849,79110,59091,71159,18109,564405,144614,714674,1,"[122343, 48058, 72063, 1719, 126210, 4279, 106178, 70977, 60567, 102280]"
10,1,0,1.0000263452529907,70216,53684,63395,14815,501036,118994,634647,1,"[159517, 4701, 2903, 9104, 201311, 13746, 154444, 1751, 8308, 78862]"
10,2,0,1.0000181198120117,69459,53216,62647,14658,496362,116667,628468,1,"[159112, 6343, 3983, 8520, 114442, 7736, 167494, 4353, 5767, 150718]"
20,0,0,1.0000669956207275,99580,70969,90055,26194,709964,207341,899599,1,"[41619, 703, 15724, 221, 6307, 391, 148939, 41506, 279, 991, 11517, 211754, 6377, 12855, 78783, 14098, 7322, 13948, 138258, 148007]"
20,1,0,1.0000526905059814,98073,69946,88407,25432,699006,202027,885486,1,"[80923, 2504, 2377, 582, 3760, 2110, 81318, 2131, 588, 2424, 18911, 257579, 758, 89030, 1160, 90082, 4402, 404, 988, 243455]"
20,2,0,1.000057339668274,103589,73063,93625,27846,740554,220507,937768,1,"[13967, 11134, 7344, 4034, 7877, 7307, 14451, 8419, 4018, 413824, 85, 121, 258, 6459, 367, 11962, 9326, 410105, 6674, 36]"
40,0,0,1.0001730918884277,87421,64122,78478,21271,621843,169077,787742,1,"[640, 88, 3298, 2472, 1480, 109206, 1205, 2793, 2344, 113691, 338, 149, 199, 264, 16, 2774, 2299, 119764, 497, 172, 253, 1730, 74671, 121370, 2681, 200, 93411, 3055, 841, 1132, 113, 32217, 1075, 969, 84346, 366, 2811, 955, 453, 1404]"
40,1,0,1.0001435279846191,85413,62712,76797,20415,607427,162006,769637,1,"[14987, 24189, 1187, 699, 5748, 16272, 6419, 390, 433, 115004, 102065, 4426, 2668, 53153, 638, 112891, 5023, 89564, 354, 105311, 1232, 895, 2045, 1532, 182, 2409, 1530, 153, 425, 84510, 101, 653, 2141, 621, 210, 5599, 548, 1757, 1246, 427]"
40,2,0,1.000179648399353,95056,68298,85608,24304,677155,192180,857819,1,"[734, 1026, 1813, 2999, 1293, 184, 1235, 865, 843, 155993, 116654, 1583, 1186, 124445, 23, 135867, 1743, 142871, 192, 134443, 1110, 102, 21, 275, 672, 2667, 33, 107, 278, 21849, 72, 88, 86, 579, 197, 796, 65, 1290, 1085, 455]"
64,0,0,1.0002176761627197,82166,60904,73970,19217,584121,152429,740257,1,"[1571, 87063, 608, 831, 1006, 1134, 441, 1084, 744, 109588, 51684, 472, 2232, 88214, 147, 97452, 2689, 87350, 102, 109944, 1006, 55, 200, 18, 342, 190, 983, 127, 6, 947, 118, 137, 834, 1703, 266, 60, 54, 592, 14492, 1747, 52132, 1306, 3929, 864, 1080, 2336, 645, 88, 1010, 508, 3111, 200, 105, 499, 1082, 323, 217, 27, 21, 536, 1158, 661, 129, 57]"
64,1,0,1.0002014636993408,80279,59639,72320,18512,571999,147785,724598,1,"[1649, 98827, 522, 364, 827, 1162, 373, 1307, 854, 108304, 49252, 496, 1927, 87001, 139, 95970, 2169, 85041, 117, 108968, 1102, 81, 217, 68, 311, 50, 2857, 156, 17, 729, 235, 298, 1278, 1574, 101, 186, 147, 875, 2669, 1737, 49907, 1083, 3486, 801, 905, 2044, 76, 129, 706, 499, 546, 208, 156, 492, 874, 526, 90, 31, 25, 295, 1013, 611, 119, 19]"
64,2,0,1.000209927558899,81700,60559,73509,19015,578371,151474,733580,1,"[1439, 99291, 783, 400, 745, 1133, 330, 1182, 803, 107996, 50581, 426, 2420, 87860, 84, 97245, 2892, 85821, 242, 109313, 676, 160, 186, 113, 296, 105, 3808, 329, 28, 688, 256, 228, 662, 1610, 187, 254, 194, 346, 3167, 2414, 51120, 1002, 4229, 1112, 1168, 2055, 65, 125, 1022, 363, 507, 292, 87, 440, 479, 264, 158, 43, 58, 245, 1465, 456, 95, 37]"
