threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,average_operations_per_thread
1,0,5.0,850916.0,432646.0,772847.0,380359.0,6117545.0,3001935.0,7741308.0,[7741308.0]
2,0,5.000007629394531,437015.0,236781.0,405128.0,184782.0,3206952.0,1465455.0,4049095.0,"[1933441.0, 2115654.0]"
4,0,5.000014781951904,232156.0,137644.0,210597.0,85802.0,1660138.0,675404.0,2102891.0,"[497498.0, 537846.0, 505458.0, 562089.0]"
8,0,5.00001859664917,201612.0,122838.0,183874.0,71726.0,1449884.0,566116.0,1835370.0,"[227732.0, 234650.0, 231004.0, 232982.0, 238134.0, 225475.0, 217158.0, 228235.0]"
10,0,5.000030517578125,200107.0,122207.0,181341.0,70797.0,1435905.0,561123.0,1817353.0,"[180204.0, 182881.0, 183254.0, 181777.0, 183484.0, 177912.0, 177299.0, 190020.0, 177671.0, 182851.0]"
20,0,5.000059127807617,195138.0,119728.0,178127.0,68794.0,1403120.0,542723.0,1776385.0,"[87611.0, 86985.0, 89898.0, 90574.0, 89390.0, 88011.0, 82890.0, 91683.0, 87014.0, 91798.0, 89897.0, 88017.0, 91698.0, 92450.0, 88209.0, 91049.0, 87519.0, 87422.0, 84314.0, 89956.0]"
40,0,5.000102996826172,190885.0,117631.0,173980.0,66696.0,1370566.0,526097.0,1735431.0,"[43306.0, 42816.0, 44885.0, 43769.0, 44050.0, 42825.0, 41892.0, 43083.0, 41998.0, 43935.0, 43301.0, 43530.0, 44409.0, 43899.0, 43036.0, 43159.0, 42314.0, 43161.0, 41364.0, 44411.0, 43375.0, 43681.0, 42173.0, 42292.0, 43172.0, 43608.0, 42626.0, 42768.0, 44824.0, 44215.0, 43346.0, 44915.0, 43514.0, 43941.0, 41224.0, 44735.0, 43919.0, 43709.0, 43486.0, 44765.0]"
64,0,5.000458240509033,185478.0,115151.0,168561.0,64093.0,1333139.0,507137.0,1687178.0,"[26475.0, 26316.0, 26941.0, 25967.0, 26955.0, 27090.0, 26568.0, 25322.0, 25858.0, 26284.0, 26100.0, 27006.0, 26559.0, 26057.0, 26636.0, 27252.0, 24954.0, 26507.0, 25847.0, 25865.0, 26244.0, 27019.0, 26764.0, 25147.0, 26187.0, 26813.0, 25716.0, 25104.0, 27167.0, 26057.0, 24940.0, 27430.0, 26863.0, 26038.0, 25175.0, 26081.0, 26020.0, 26841.0, 27013.0, 26700.0, 25499.0, 26809.0, 26563.0, 26222.0, 25771.0, 26156.0, 26872.0, 26273.0, 26013.0, 26341.0, 27036.0, 27238.0, 26359.0, 26123.0, 26821.0, 27014.0, 26255.0, 26563.0, 27144.0, 26587.0, 26641.0, 27431.0, 26077.0, 25492.0]"
