threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,1.000000238418579,227218,135430,206001,83462,1629526,661801,2062745,1,[2062745]
2,0,0,1.0000016689300537,119995,81889,108869,34984,858765,274775,1087629,1,"[507982, 579647]"
4,0,0,1.0000070333480835,72753,55294,65517,15779,518419,125509,656689,1,"[164431, 157417, 175338, 159503]"
8,0,0,1.0000249147415161,50846,41335,45527,8645,360886,68459,457259,1,"[57228, 57969, 57012, 57561, 57336, 56745, 57207, 56201]"
10,0,0,1.000020146369934,44848,37010,40259,6887,317654,54199,402761,1,"[40084, 39190, 39745, 39659, 40168, 41136, 40501, 41047, 41709, 39522]"
20,0,0,1.0000572204589844,43829,36260,39586,6715,312033,52127,395448,1,"[19593, 19400, 19716, 19297, 19792, 20170, 19654, 19981, 20500, 20182, 19886, 20225, 20108, 19802, 19496, 19234, 19155, 19739, 20151, 19367]"
40,0,0,1.0001026391983032,39745,33445,35634,5526,281924,44033,357303,1,"[8630, 8852, 8704, 8883, 8791, 9241, 8754, 8790, 8897, 8783, 9268, 9228, 9113, 8921, 9029, 9003, 8823, 8974, 9299, 8896, 8920, 8804, 9017, 8897, 8909, 8988, 8820, 9024, 8804, 8899, 8832, 8921, 9305, 8832, 8850, 9004, 8733, 8806, 9139, 8920]"
64,0,0,1.0005114078521729,38225,32358,34179,5215,272481,41642,344885,1,"[5501, 4647, 5398, 5239, 5417, 5487, 4955, 5209, 5305, 5338, 5295, 5543, 5596, 5507, 5363, 5391, 5247, 5355, 5616, 5392, 5227, 5391, 5362, 5501, 5356, 5334, 5289, 5404, 5634, 5569, 5354, 5227, 5481, 5537, 5467, 5251, 5537, 5498, 5310, 5188, 5411, 5588, 5488, 5629, 5467, 5548, 5377, 5261, 5510, 5347, 5443, 5323, 5410, 4898, 5527, 5542, 5486, 5561, 5589, 5374, 5278, 5257, 5372, 5481]"
