threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.000000476837158,1007637,507409,915873,454798,7244755,3606801,9168265
2,0,5.000004291534424,564323,298324,521561,246203,4122233,1946221,5208117
4,0,5.000010967254639,254635,148307,229874,96239,1815019,758549,2299528
8,0,5.0000152587890625,196062,120133,178254,69216,1405535,544437,1779851
10,0,5.000026702880859,193805,118771,175445,67757,1386307,536078,1755557
20,0,5.000053882598877,193734,119149,176326,68093,1385313,534423,1755373
40,0,5.0000810623168945,186430,115517,169713,64822,1335004,509813,1691147
64,0,5.000509262084961,186939,115754,169611,64673,1336015,510069,1692565
