threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,1.0000004768371582,694543,369007,679155,318281,321836,151050,1695534,[1695534]
1,1,0,1.000000238418579,696766,370127,681370,319418,322886,151578,1701022,[1701022]
1,2,0,1.0,684782,364269,669357,313298,317268,148728,1671407,[1671407]
2,0,0,1.000001072883606,498467,272362,490066,221858,232513,105537,1221046,"[645632, 575414]"
2,1,0,1.0000015497207642,246566,147437,243606,97790,115595,46103,605767,"[426528, 179239]"
2,2,0,1.0000172853469849,241805,145326,239720,95714,113579,45510,595104,"[419769, 175335]"
4,0,0,1.0000114440917969,142802,94490,138528,46934,65826,22516,347156,"[88038, 83755, 88305, 87058]"
4,1,0,1.000008225440979,135699,90844,131809,43573,62856,20926,330364,"[84287, 83334, 83154, 79589]"
4,2,0,1.0000051259994507,137923,92074,134627,44740,63811,21131,336361,"[87273, 83372, 85780, 79936]"
8,0,0,1.0000181198120117,148881,97787,144844,49859,69078,23717,362803,"[43482, 46830, 46713, 45827, 45295, 45527, 44002, 45127]"
8,1,0,1.0000289678573608,133590,89532,129660,42515,61712,20275,324962,"[39926, 42086, 42063, 40704, 39657, 42459, 39122, 38945]"
8,2,0,1.000024676322937,154267,100667,150355,52451,71011,24769,375633,"[46106, 47893, 45937, 46865, 47481, 47385, 47153, 46813]"
10,0,0,1.0000189542770386,144923,95718,140584,47931,66905,22726,352412,"[34294, 36566, 34988, 35830, 35555, 35625, 35730, 35374, 34242, 34208]"
10,1,0,1.000027060508728,135149,90696,132011,43686,62415,20641,329575,"[32921, 34130, 32708, 33758, 32829, 33025, 33100, 32856, 32463, 31785]"
10,2,0,1.0000211000442505,122735,83949,120159,37818,56998,18016,299892,"[29526, 30644, 29899, 30533, 29893, 31177, 29471, 29251, 31361, 28137]"
20,0,0,1.0000513792037964,140380,93363,136628,46019,64544,21541,341552,"[16747, 17097, 17552, 16803, 16909, 17023, 17094, 17063, 17215, 16736, 17532, 18075, 17669, 16832, 16472, 16755, 16499, 16851, 17804, 16824]"
20,1,0,1.0000650882720947,131979,88728,128040,41786,61153,20014,321172,"[15771, 16267, 16405, 15369, 15789, 15827, 15800, 16020, 16163, 15808, 16632, 16923, 16888, 15744, 16808, 15768, 15626, 15305, 16462, 15797]"
20,2,0,1.0000344514846802,127418,86405,124723,39891,58927,19041,311068,"[15296, 15712, 15471, 14733, 15593, 15471, 15222, 15385, 14841, 14901, 16097, 16180, 16106, 16508, 16153, 15374, 15404, 15244, 16134, 15243]"
40,0,0,1.0000994205474854,130163,87694,125898,40846,60107,19490,316168,"[7674, 8207, 8080, 7630, 7809, 7789, 7792, 7610, 7441, 7625, 8077, 8156, 7976, 7953, 8144, 7747, 7743, 7928, 8224, 7683, 7770, 7869, 7881, 7788, 8202, 8059, 7738, 7760, 8373, 7749, 8366, 7822, 7877, 8097, 7828, 7845, 8120, 8050, 7915, 7771]"
40,1,0,1.0000990629196167,128116,86645,124946,40090,59249,19319,312311,"[7733, 7831, 8090, 7744, 7680, 7638, 7704, 7835, 7513, 7680, 8168, 7923, 7958, 7706, 7891, 7835, 7603, 7668, 7977, 7624, 8164, 7892, 7678, 7472, 7906, 8162, 7415, 7737, 8100, 7732, 7575, 7661, 7956, 8296, 7778, 8118, 8006, 7599, 7553, 7710]"
40,2,0,1.0001028776168823,126274,85927,122431,39108,58445,18764,307150,"[7685, 7871, 7971, 7285, 7575, 7551, 7579, 7971, 7296, 7525, 7735, 7863, 7587, 7576, 7949, 7669, 7536, 7599, 7882, 7747, 7862, 7640, 7656, 7414, 8110, 7790, 7462, 7635, 7883, 7554, 7450, 7249, 7891, 8129, 7555, 7958, 8017, 7378, 7550, 7515]"
64,0,0,1.000484585762024,122972,84184,119543,38077,56777,17896,299292,"[4474, 4823, 4774, 4753, 4759, 4810, 4683, 4766, 4687, 4553, 4556, 4815, 4746, 4518, 4610, 4627, 4725, 4422, 4657, 4747, 4865, 4447, 4731, 4416, 4674, 4837, 4595, 4630, 4970, 4568, 4599, 4578, 4641, 4947, 4428, 4757, 4687, 4222, 4695, 4665, 4569, 4754, 4505, 4679, 4717, 4563, 4545, 4572, 4697, 4687, 4794, 4854, 4886, 4705, 4670, 4767, 4678, 4702, 4831, 4714, 4847, 4731, 4635, 4733]"
64,1,0,1.0005072355270386,122740,83830,119052,37511,56637,17871,298429,"[4405, 4682, 4551, 4769, 4688, 4535, 4743, 4790, 4572, 4663, 4561, 4768, 4755, 4841, 4600, 4799, 4393, 4705, 4221, 4704, 4710, 4656, 4664, 4794, 4866, 4770, 4707, 4565, 4708, 4743, 4101, 4480, 4499, 4720, 4553, 4944, 4783, 4609, 4729, 4761, 4229, 4817, 4711, 4608, 4714, 4741, 4624, 4828, 4706, 4656, 4793, 4826, 4542, 4853, 4619, 4587, 4454, 4549, 4612, 4780, 4862, 4650, 4840, 4721]"
64,2,0,1.000369906425476,122720,84016,119378,37711,56846,17969,298944,"[4563, 4897, 4816, 4615, 4662, 4663, 4677, 4763, 4641, 4852, 4626, 4674, 4702, 4566, 4275, 4517, 4675, 4587, 4622, 4301, 4729, 4499, 4779, 4844, 4745, 4676, 4667, 4444, 4624, 4611, 4814, 4754, 4806, 4476, 4312, 4796, 4741, 4469, 4590, 4668, 4722, 4644, 4743, 4794, 4690, 4645, 4718, 4668, 4382, 4611, 4729, 4855, 4808, 4826, 4951, 4813, 4765, 4654, 4613, 4519, 4789, 4726, 4733, 4808]"
