threads,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,5.0,3372201.0,1690850.0,3291357.0,1640192.0,1561586.0,777781.0,8225144.0
2,5.000005722045898,1850978.0,946000.0,1831773.0,895890.0,866962.0,423632.0,4549713.0
4,5.000007629394531,945769.0,491343.0,917464.0,440673.0,435175.0,209459.0,2298408.0
8,5.000020980834961,684924.0,363403.0,666027.0,312718.0,315994.0,148338.0,1666945.0
10,5.000022888183594,653271.0,347732.0,634148.0,296919.0,300074.0,140957.0,1587493.0
20,5.00003719329834,634504.0,337875.0,615411.0,287273.0,292409.0,136520.0,1542324.0
40,5.000102996826172,621666.0,332992.0,606703.0,282601.0,287027.0,133490.0,1515396.0
64,5.000508785247803,614866.0,328498.0,597324.0,277660.0,282044.0,131339.0,1494234.0
