threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.000000953674316,1192489,613657,1163647,563001,550869,267355,2907005
2,0,5.000003337860107,1259632,645770,1223098,595225,579211,282067,3061941
4,0,5.000046253204346,1358088,694281,1319304,643560,625398,304976,3302790
8,0,5.006148815155029,1294649,663335,1256364,612463,595161,290857,3146174
10,0,5.000263690948486,1397792,713781,1356000,663195,642594,314535,3396386
20,0,5.000168323516846,1434285,732610,1392400,681820,660149,322805,3486834
40,0,5.000462532043457,1378121,703944,1336171,653167,633668,309431,3347960
64,0,5.025298595428467,1362070,695614,1322198,645054,626554,306337,3310822
