threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.0000001192092896,789382,414643,768949,364256,364600,172770,1922931
2,0,1.0000035762786865,246260,146806,239356,96399,113821,46359,599437
4,0,1.0000070333480835,276714,162060,268892,111316,127850,53266,673456
8,0,1.0000214576721191,266536,156821,259264,106306,122166,50238,647966
10,0,1.0000258684158325,235887,141727,229209,91420,108587,43460,573683
20,0,1.000096082687378,351070,198459,340259,147706,161352,70178,852681
40,0,1.0001702308654785,315452,180957,306009,130180,144824,62162,766285
64,0,1.0002591609954834,235533,141738,229439,91745,108995,43552,573967
