threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.0000005960464478,395196,220072,383571,169305,181447,80306,960214
2,0,1.0000016689300537,442756,243836,430395,193196,204012,91651,1077163
4,0,1.0000032186508179,333104,189415,323587,138883,153049,65950,809740
8,0,1.006757140159607,265528,156146,257662,105822,121959,50194,645149
10,0,1.0000369548797607,264441,155912,256976,105321,121731,50132,643148
20,0,1.0005892515182495,294371,170689,286346,120184,135495,57543,716212
40,0,1.000244379043579,282843,164707,274267,114158,129786,54261,686896
64,0,1.0275038480758667,279123,163256,271947,112855,128450,53777,679520
