threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,5.0,4456204,2224900,4346981,2174563,2065458,1032798,10868643,1,[10868643]
1,1,0,5.0,4470462,2231951,4360578,2181455,2071917,1036094,10902957,1,[10902957]
1,2,0,5.000000476837158,4469808,2231614,4359907,2181110,2071572,1035918,10901287,1,[10901287]
2,0,0,5.000001907348633,1601321,816328,1563082,765646,742090,363589,3906493,1,"[2069096, 1837397]"
2,1,0,5.000000953674316,1771344,899402,1729612,848894,819069,403509,4320025,1,"[2221703, 2098322]"
2,2,0,5.000002384185791,1304076,669655,1273473,619331,603265,293698,3180814,1,"[1781560, 1399254]"
4,0,0,5.00000524520874,1382198,707698,1348995,657225,640130,312216,3371323,1,"[1071683, 941743, 235253, 1122644]"
4,1,0,5.000005722045898,1118280,577284,1088768,526840,516800,249911,2723848,1,"[906573, 852729, 247101, 717445]"
4,2,0,5.000006198883057,1079301,557965,1050879,507331,498999,240955,2629179,1,"[876913, 839394, 186709, 726163]"
8,0,0,5.0000176429748535,1290004,661782,1255093,611349,596529,290973,3141626,1,"[97694, 32482, 18919, 37905, 96424, 838399, 1073811, 945992]"
8,1,0,5.000023365020752,1258180,646815,1227745,596300,580692,282669,3066617,1,"[1050963, 56019, 23124, 48103, 16906, 794137, 969820, 107545]"
8,2,0,5.000020980834961,1210222,623299,1181091,572971,559586,271873,2950899,1,"[1013064, 28193, 681900, 687091, 54021, 240967, 237642, 8021]"
10,0,0,5.000019550323486,1356327,694873,1321433,644350,627980,306328,3305740,1,"[1028899, 35232, 179446, 444004, 36770, 277788, 47501, 97403, 230321, 928376]"
10,1,0,5.000024318695068,1298187,665427,1263305,614813,599966,292543,3161458,1,"[999097, 265127, 221956, 58222, 46415, 1162263, 7162, 11073, 362083, 28060]"
10,2,0,5.000025749206543,1304669,669656,1271249,619143,604133,294256,3180051,1,"[1010778, 23264, 153965, 398809, 25299, 1166872, 107712, 34588, 250888, 7876]"
20,0,0,5.000089168548584,1782656,905281,1738974,854751,823440,405043,4345070,1,"[1906996, 1744, 5041, 4281, 1372, 26147, 63776, 2173, 487, 4643, 82732, 885, 18041, 140429, 1888567, 2496, 58418, 89971, 1513, 45358]"
20,1,0,5.000090599060059,1808685,918375,1766509,868105,835985,411844,4411179,1,"[2032941, 1869, 5334, 4655, 1581, 4035, 78742, 2025, 616, 5310, 1407, 587, 5282, 52493, 2024322, 604, 54087, 79799, 1207, 54283]"
20,2,0,5.000071048736572,1806798,918334,1764313,867627,835531,410829,4406642,1,"[2013354, 1744, 40015, 11793, 2511, 5832, 60779, 2344, 8789, 4035, 45252, 1239, 5473, 40021, 1583943, 819, 39149, 69675, 1142, 468733]"
40,0,0,5.000171661376953,1606645,819066,1565464,768534,742305,364926,3914414,1,"[1651, 364969, 906, 4908, 713782, 446257, 16236, 1806, 9037, 1344, 21581, 276233, 15711, 6421, 698, 27838, 1004, 8792, 1036, 148930, 2902, 564068, 111998, 1043, 15402, 154199, 5641, 4543, 1079, 129792, 4275, 9682, 11990, 3503, 2262, 808513, 1602, 1303, 1412, 10065]"
40,1,0,5.000156402587891,1607808,819902,1570376,769343,744722,365001,3922906,1,"[195017, 155059, 1561, 7264, 1472482, 209969, 22190, 944, 7451, 1756, 7912, 113049, 19592, 17468, 1908, 24921, 1415, 9966, 2218, 9118, 5018, 31464, 9077, 2741, 27252, 6555, 2064, 2570, 2282, 8823, 2991, 2613, 4658, 4153, 690, 1495830, 1547, 23661, 4333, 3324]"
40,2,0,5.0001420974731445,1643786,837478,1603306,786925,760402,372938,4007494,1,"[451138, 397490, 358335, 4178, 554337, 475235, 14193, 8041, 6900, 2074, 3754, 72045, 15594, 7842, 6051, 12559, 1095, 6191, 2148, 456722, 2619, 6222, 7090, 2160, 10123, 2868, 1641, 1770, 1719, 3288, 1858, 1383, 2729, 1761, 1632, 1055478, 3219, 24912, 2701, 16399]"
64,0,0,5.000232696533203,1187337,611222,1157176,560925,549448,266366,2893961,1,"[8481, 189623, 3208, 4145, 1478, 19485, 199006, 6178, 4999, 147702, 229636, 85628, 4295, 96989, 189955, 57005, 697, 15312, 161157, 171816, 149337, 721, 3541, 5283, 366, 557, 795, 762, 1954, 1025, 827, 3753, 1540, 1359, 1327, 217488, 2582, 6516, 3383, 9769, 2300, 197713, 89860, 7552, 20240, 227551, 8622, 17858, 4818, 657, 6038, 3352, 4393, 2624, 3871, 274, 161595, 2388, 5736, 2036, 177, 1787, 1748, 111091]"
