threads,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,5.0,4495740.0,2244453.0,4385277.0,2193996.0,2083576.0,1041886.0,10964593.0
2,5.000000953674316,2087128.0,1056800.0,2038318.0,1006101.0,966779.0,477476.0,5092225.0
4,5.000003814697266,1672215.0,851224.0,1632107.0,800203.0,773254.0,379895.0,4077576.0
8,5.000021457672119,1316094.0,674231.0,1281731.0,623526.0,608768.0,296401.0,3206593.0
10,5.000036716461182,1323226.0,678851.0,1291718.0,628245.0,612467.0,298541.0,3227411.0
20,5.000081539154053,1382066.0,707615.0,1348839.0,657333.0,638767.0,311499.0,3369672.0
40,5.000148773193359,1530530.0,781186.0,1493788.0,730705.0,708470.0,347320.0,3732788.0
64,5.000247001647949,1163465.0,599514.0,1133292.0,548908.0,537166.0,260512.0,2833923.0
