threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.0,4495740,2244453,4385277,2193996,2083576,1041886,10964593
2,0,5.000000953674316,2087128,1056800,2038318,1006101,966779,477476,5092225
4,0,5.000003814697266,1672215,851224,1632107,800203,773254,379895,4077576
8,0,5.000021457672119,1316094,674231,1281731,623526,608768,296401,3206593
10,0,5.000036716461182,1323226,678851,1291718,628245,612467,298541,3227411
20,0,5.000081539154053,1382066,707615,1348839,657333,638767,311499,3369672
40,0,5.000148773193359,1530530,781186,1493788,730705,708470,347320,3732788
64,0,5.000247001647949,1163465,599514,1133292,548908,537166,260512,2833923
