threads,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,1.000000238418579,341979.0,190317.0,311132.0,138124.0,2451514.0,1088524.0,3104625.0
2,1.0000003576278687,271255.0,156240.0,246179.0,104122.0,1939918.0,820608.0,2457352.0
4,1.0000203847885132,234337.0,139076.0,212262.0,86960.0,1673958.0,683990.0,2120557.0
8,1.0000723600387573,199543.0,122152.0,180548.0,70659.0,1424365.0,555128.0,1804456.0
10,1.0000587701797485,175932.0,110108.0,159364.0,59389.0,1255084.0,470354.0,1590380.0
20,1.0003089904785156,195521.0,119873.0,177285.0,69063.0,1397061.0,540496.0,1769867.0
40,1.0001730918884277,184516.0,102480.0,166935.0,74472.0,1315937.0,585421.0,1667388.0
64,1.000320553779602,179167.0,94573.0,162176.0,76495.0,1278158.0,602610.0,1619501.0
