threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,5.0,1283957,639460,1167389,586990,9224040,4635294,11675386,1,[11675386]
1,1,0,5.000000476837158,1281753,638402,1165341,585924,9208250,4626967,11655344,1,[11655344]
1,2,0,5.0,1280785,637956,1164508,585501,9201519,4623380,11646812,1,[11646812]
