threads,repetition,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.0000007152557373,133130,88466,120378,40181,948808,317818,1202316
2,0,1.0000003576278687,151801,98172,137514,48403,1082582,384470,1371897
4,0,1.0000187158584595,121924,82817,110231,35539,869870,280292,1102025
8,0,1.0000420808792114,98342,70094,88544,25571,695057,200265,881943
10,0,1.0000373125076294,92254,66538,83083,23121,657313,183305,832650
20,0,1.0001003742218018,93485,67206,84110,23500,663449,185931,841044
40,0,1.000307559967041,89731,65303,80370,22104,635828,174363,805929
64,0,1.0004265308380127,90533,65620,81605,22530,644670,176947,816808
