threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,average_operations_per_thread
1,0,5.0000003178914385,3306717.3333333335,1658654.6666666667,3227817.0,1607939.0,1531335.0,762636.3333333334,8065869.333333333,True,[8065869.333333333]
2,0,5.000001430511475,2042515.3333333333,1027482.6666666666,1966065.6666666667,976536.0,931354.3333333334,463047.0,4939935.333333333,True,"[2667013.0, 2272922.3333333335]"
4,0,5.000009218851726,839216.3333333334,439294.6666666667,815403.6666666666,388532.0,386418.0,183974.33333333334,2041038.0,True,"[529491.0, 522618.0, 479994.0, 508935.0]"
8,0,5.000021457672119,654426.3333333334,348427.0,637041.0,297874.3333333333,302041.0,141410.0,1593508.3333333333,True,"[198005.0, 196778.66666666666, 201029.0, 194389.0, 195248.33333333334, 201477.0, 203676.33333333334, 202905.0]"
10,0,5.0000373522440595,673019.6666666666,357887.3333333333,656610.0,307285.0,310917.6666666667,145424.33333333334,1640547.3333333333,True,"[159945.0, 164748.0, 162962.66666666666, 163757.0, 170966.33333333334, 161066.0, 166630.33333333334, 163924.0, 163529.66666666666, 163018.33333333334]"
20,0,5.000048478444417,627242.6666666666,335204.3333333333,611004.0,284533.3333333333,289296.3333333333,135061.66666666666,1527543.0,True,"[73867.66666666667, 75652.0, 77861.33333333333, 78291.0, 78845.33333333333, 73746.0, 79119.33333333333, 74582.66666666667, 75830.0, 76689.0, 78425.33333333333, 74546.0, 77942.33333333333, 74294.66666666667, 77108.0, 75759.66666666667, 76396.0, 75418.33333333333, 75890.33333333333, 77278.0]"
40,0,5.000107924143474,619171.0,330599.3333333333,601557.3333333334,279940.0,285073.3333333333,132593.66666666666,1505801.6666666667,True,"[36608.333333333336, 37015.0, 38082.333333333336, 37046.0, 37059.666666666664, 36741.333333333336, 38400.0, 37108.0, 37027.666666666664, 37062.666666666664, 38143.0, 38421.333333333336, 37194.0, 36717.0, 38334.666666666664, 37232.333333333336, 37372.333333333336, 37191.333333333336, 38467.666666666664, 38171.333333333336, 37993.666666666664, 37307.666666666664, 37158.333333333336, 38505.666666666664, 38383.0, 37916.333333333336, 38970.666666666664, 38625.333333333336, 37315.0, 37508.0, 38341.0, 37826.0, 37099.666666666664, 37851.0, 37224.0, 37447.0, 36765.666666666664, 38221.0, 38561.666666666664, 37385.0]"
64,0,5.000511805216472,605565.3333333334,324548.6666666667,588734.3333333334,274007.3333333333,278610.0,129256.33333333333,1472909.6666666667,True,"[22778.0, 22646.666666666668, 23582.666666666668, 22962.666666666668, 22677.333333333332, 23055.666666666668, 23200.0, 22813.666666666668, 22842.666666666668, 23076.666666666668, 23390.333333333332, 23039.333333333332, 22772.666666666668, 22838.666666666668, 22470.666666666668, 22999.0, 23115.666666666668, 23166.0, 23257.0, 22950.666666666668, 23180.666666666668, 22579.333333333332, 22863.0, 23092.0, 23231.666666666668, 22953.0, 22536.666666666668, 23078.666666666668, 22737.666666666668, 22411.333333333332, 23171.0, 23127.333333333332, 22866.666666666668, 23033.333333333332, 23064.333333333332, 22494.666666666668, 22605.0, 22867.333333333332, 23161.333333333332, 22728.666666666668, 22935.0, 23153.0, 22939.666666666668, 23264.0, 23416.666666666668, 23102.333333333332, 23262.0, 22959.333333333332, 22595.666666666668, 23392.333333333332, 23171.666666666668, 23254.666666666668, 23133.666666666668, 23271.0, 23567.333333333332, 23125.0, 23597.666666666668, 23322.0, 22620.0, 22989.333333333332, 23053.0, 23395.666666666668, 23185.333333333332, 22783.666666666668]"
