threads,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,5.0,1009099.0,508101.0,917225.0,455501.0,7255293.0,3612341.0,9181617.0
2,5.000002384185791,580932.0,308534.0,547335.0,257041.0,4333166.0,2037603.0,5461433.0
4,5.0000081062316895,264987.0,153420.0,240057.0,101531.0,1894658.0,798221.0,2399702.0
8,5.000010967254639,215797.0,129868.0,196226.0,78270.0,1545770.0,618238.0,1957793.0
10,5.000016212463379,211887.0,127887.0,192735.0,76513.0,1518744.0,603706.0,1923366.0
20,5.0000457763671875,203012.0,123743.0,184467.0,72667.0,1453480.0,569986.0,1840959.0
40,5.000086784362793,193417.0,118773.0,175713.0,67972.0,1385776.0,536293.0,1754906.0
64,5.000365257263184,186487.0,115508.0,168873.0,64545.0,1334898.0,510510.0,1690258.0
