threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,average_operations_per_thread
1,0,1.0000001192092896,239600.0,141423.0,217855.0,89781.0,1723686.0,707421.0,2181141.0,[2181141.0]
2,0,1.0000005960464478,164650.0,104618.0,149734.0,54359.0,1182050.0,430495.0,1496434.0,"[763878.0, 732556.0]"
4,0,1.0000054836273193,61725.0,48418.0,55756.0,12056.0,439679.0,94789.0,557160.0,"[105348.0, 156448.0, 139530.0, 155834.0]"
8,0,1.0000180006027222,42255.0,35249.0,38283.0,6232.0,302629.0,49632.0,383167.0,"[48523.0, 46302.0, 46908.0, 47001.0, 47045.0, 49516.0, 49166.0, 48706.0]"
10,0,1.000022530555725,38665.0,32825.0,35021.0,5412.0,278390.0,42467.0,352076.0,"[35802.0, 33933.0, 33594.0, 33866.0, 34557.0, 35541.0, 36764.0, 35818.0, 35972.0, 36229.0]"
20,0,1.0000550746917725,38200.0,32478.0,35001.0,5380.0,277797.0,42382.0,350998.0,"[17191.0, 16951.0, 17204.0, 17180.0, 17209.0, 17272.0, 17355.0, 17523.0, 18167.0, 18124.0, 17928.0, 17698.0, 17567.0, 17507.0, 17952.0, 18554.0, 17977.0, 17358.0, 16929.0, 17352.0]"
40,0,1.0000765323638916,37670.0,32080.0,34243.0,5075.0,269740.0,40947.0,341653.0,"[8661.0, 8370.0, 8574.0, 8289.0, 8537.0, 8313.0, 8452.0, 8354.0, 8726.0, 8951.0, 8395.0, 8499.0, 8710.0, 8713.0, 8559.0, 8612.0, 8408.0, 8846.0, 8468.0, 8534.0, 8648.0, 8724.0, 8853.0, 8434.0, 8421.0, 8515.0, 8613.0, 8345.0, 8527.0, 8659.0, 8328.0, 8769.0, 8644.0, 8423.0, 8349.0, 8372.0, 8777.0, 8323.0, 8354.0, 8604.0]"
64,0,1.0004006624221802,38233.0,32377.0,34509.0,5228.0,273704.0,41592.0,346446.0,"[5450.0, 5292.0, 5522.0, 5424.0, 5045.0, 5480.0, 5258.0, 5557.0, 5577.0, 5451.0, 5641.0, 5286.0, 5427.0, 5390.0, 5516.0, 5393.0, 5614.0, 5355.0, 5418.0, 5427.0, 5457.0, 5441.0, 5153.0, 5417.0, 5448.0, 5278.0, 5476.0, 5404.0, 5523.0, 5435.0, 5389.0, 5491.0, 5266.0, 5563.0, 5467.0, 4998.0, 5338.0, 5614.0, 5709.0, 5442.0, 5409.0, 4990.0, 5541.0, 4969.0, 5473.0, 5534.0, 5575.0, 5396.0, 5217.0, 5463.0, 5480.0, 5313.0, 5622.0, 5454.0, 5723.0, 5462.0, 5261.0, 5621.0, 5275.0, 5290.0, 5310.0, 5523.0, 5261.0, 5452.0]"
