threads,repetition,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.0000004768371582,193257,118776,175244,67595,1384829,535503,1753330
2,0,1.0017338991165161,206898,125323,186267,73662,1472544,581391,1865709
4,0,1.0043449401855469,146155,95325,131960,46192,1040067,362112,1318182
8,0,1.0002864599227905,84856,62325,75729,20180,599415,159778,760000
10,0,1.0000404119491577,78033,58296,69898,17637,554258,140365,702189
20,0,1.0026562213897705,75320,56872,67394,16614,534719,131898,677433
40,0,1.009230375289917,79770,59205,71446,18225,566532,145425,717748
64,0,1.0042192935943604,86009,62991,77189,20579,608947,163625,772145
