threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,average_operations_per_thread
1,0,5.00000015894572,1004305.3333333334,505791.0,912919.3333333334,453221.0,7221051.666666667,3594343.3333333335,9138276.333333334,True,[9138276.333333334]
2,0,5.000003178914388,535621.0,284890.6666666667,496738.0,232932.66666666666,3938886.0,1846635.6666666667,4971245.0,True,"[3083041.3333333335, 1888203.6666666667]"
4,0,5.0000050862630205,270986.0,155921.33333333334,245481.0,103795.66666666667,1939220.0,823598.6666666666,2455687.0,True,"[636523.6666666666, 551982.6666666666, 656657.0, 610523.6666666666]"
8,0,5.000016053517659,201642.66666666666,123012.33333333333,183687.33333333334,71868.66666666667,1447863.0,566453.3333333334,1833193.0,True,"[217352.33333333334, 225720.33333333334, 226813.66666666666, 228616.66666666666, 234354.0, 231138.33333333334, 234477.66666666666, 234720.0]"
10,0,5.000016689300537,195803.33333333334,120060.66666666667,178273.0,68932.0,1405990.3333333333,544161.3333333334,1780066.6666666667,True,"[176162.66666666666, 177442.33333333334, 175732.33333333334, 176315.0, 184458.33333333334, 175985.66666666666, 181810.33333333334, 180725.0, 182301.66666666666, 169133.33333333334]"
20,0,5.000050226847331,190445.0,117322.33333333333,172735.0,66449.0,1364594.3333333333,523405.6666666667,1727774.3333333333,True,"[85604.66666666667, 86567.33333333333, 86507.33333333333, 85070.33333333333, 85965.0, 85391.33333333333, 87229.0, 87020.66666666667, 86546.33333333333, 86434.33333333333, 87545.0, 88022.0, 87968.0, 86980.33333333333, 85273.33333333333, 85783.66666666667, 83654.33333333333, 87108.66666666667, 87721.0, 85381.66666666667]"
40,0,5.000089009602864,186266.0,115428.33333333333,169109.33333333334,64702.666666666664,1333028.0,508305.6666666667,1688403.3333333333,True,"[42199.666666666664, 42548.333333333336, 40794.666666666664, 41747.0, 41966.0, 41600.666666666664, 42397.333333333336, 42412.0, 42559.0, 41558.0, 42587.666666666664, 42609.666666666664, 42893.333333333336, 41784.666666666664, 42169.333333333336, 40748.333333333336, 40343.666666666664, 40268.666666666664, 42012.666666666664, 40522.333333333336, 43172.333333333336, 41941.666666666664, 42344.666666666664, 43540.333333333336, 42701.333333333336, 42201.0, 42663.0, 42690.333333333336, 43230.666666666664, 42299.0, 42384.333333333336, 42488.333333333336, 42383.666666666664, 42509.333333333336, 43489.666666666664, 43256.333333333336, 41591.666666666664, 43491.666666666664, 42100.666666666664, 42200.333333333336]"
64,0,5.00049352645874,184386.66666666666,114507.33333333333,167787.33333333334,63848.666666666664,1322218.6666666667,501720.0,1674392.6666666667,True,"[25843.0, 26401.0, 25891.0, 25890.666666666668, 26243.666666666668, 26352.666666666668, 26066.333333333332, 26223.333333333332, 25573.0, 26458.0, 26146.666666666668, 25875.0, 26039.333333333332, 25633.666666666668, 26444.333333333332, 26330.666666666668, 25779.333333333332, 26322.333333333332, 25906.333333333332, 26228.666666666668, 25833.0, 26228.333333333332, 25526.0, 26129.333333333332, 25846.0, 25953.666666666668, 26658.666666666668, 25874.333333333332, 25196.666666666668, 25462.666666666668, 25699.333333333332, 26366.0, 26174.0, 26418.0, 26317.333333333332, 26147.333333333332, 26583.666666666668, 26553.666666666668, 26012.666666666668, 26480.333333333332, 26059.333333333332, 26166.666666666668, 26068.333333333332, 25870.666666666668, 26244.333333333332, 26149.333333333332, 26772.666666666668, 26142.333333333332, 26114.666666666668, 26164.0, 26833.333333333332, 26458.333333333332, 26487.333333333332, 25854.333333333332, 25744.666666666668, 25941.0, 26511.333333333332, 26210.0, 26823.333333333332, 26573.333333333332, 26374.666666666668, 26341.333333333332, 26833.333333333332, 26544.0]"
