threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,5.0,1046430,525948,950531,473510,7522487,3735944,9519448,[9519448]
1,1,0,5.000000476837158,1025367,515907,931489,463481,7371774,3656614,9328630,[9328630]
1,2,0,5.000000476837158,1031203,518691,936445,466047,7412652,3678172,9380300,[9380300]
2,0,0,5.000000476837158,840877,429086,768205,376988,6075458,2973137,7684540,"[3917933, 3766607]"
2,1,0,5.000001430511475,592299,310157,540753,258157,4284445,2039703,5417497,"[2438630, 2978867]"
2,2,0,5.000001430511475,385160,211863,355218,160063,2808822,1266265,3549200,"[1143011, 2406189]"
4,0,0,5.000003814697266,269376,154808,243106,102753,1927210,817457,2439692,"[651723, 575758, 600615, 611596]"
4,1,0,5.000011444091797,250865,146631,227298,94502,1795236,748393,2273399,"[613466, 553418, 549370, 557145]"
4,2,0,5.000006675720215,242993,142692,220195,90779,1737930,718114,2201118,"[594628, 553502, 500817, 552171]"
8,0,0,5.000014781951904,242489,142604,221109,90733,1745401,717358,2208999,"[277915, 278344, 279755, 279374, 278773, 277018, 267597, 270223]"
8,1,0,5.000014781951904,201918,123046,184028,72025,1452107,568076,1838053,"[232133, 231118, 227965, 233695, 233933, 230329, 222037, 226843]"
8,2,0,5.000023365020752,198133,121178,179176,70016,1416045,551364,1793354,"[224188, 224206, 223693, 226858, 227849, 224895, 216981, 224684]"
10,0,0,5.000024318695068,178493,111518,161844,60947,1277504,479541,1617841,"[159926, 158928, 167318, 161591, 158954, 169531, 166409, 171265, 151827, 152092]"
10,1,0,5.000025749206543,178560,111406,161426,60789,1280386,480958,1620372,"[151451, 158375, 167751, 161615, 159875, 170698, 168025, 170599, 151220, 160763]"
10,2,0,5.0000224113464355,178444,111482,161959,60838,1278966,480545,1619369,"[150966, 158309, 167275, 161007, 159330, 170738, 168876, 171128, 150874, 160866]"
20,0,0,5.000046253204346,179538,112335,163495,61760,1289416,484752,1632449,"[78927, 79528, 80630, 79597, 79628, 81744, 84189, 83487, 79907, 82050, 78517, 80617, 83328, 77155, 80218, 81447, 85049, 85943, 86308, 84180]"
