threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,average_operations_per_thread
1,0,1.0000005563100178,229006.33333333334,136280.0,208274.66666666666,84819.33333333333,1648035.6666666667,668487.3333333334,2085316.6666666667,[2085316.6666666667]
2,0,1.0000018278757732,154695.33333333334,99727.0,140345.33333333334,50226.666666666664,1111829.6666666667,396431.6666666667,1406870.3333333333,"[688833.6666666666, 718036.6666666666]"
4,0,1.0000089406967163,56584.333333333336,45025.333333333336,51065.0,10377.666666666666,403588.0,82243.0,511237.3333333333,"[123620.0, 133706.66666666666, 126595.66666666667, 127315.0]"
8,0,1.0000170469284058,48815.666666666664,39920.666666666664,44298.333333333336,8075.0,350971.6666666667,64341.0,444085.6666666667,"[56214.666666666664, 55919.0, 53715.333333333336, 56185.333333333336, 56720.0, 56782.666666666664, 52358.333333333336, 56190.333333333336]"
10,0,1.0000245571136475,43924.0,36479.666666666664,39897.0,6720.333333333333,315645.6666666667,53368.333333333336,399466.6666666667,"[40547.666666666664, 40260.333333333336, 38626.333333333336, 39799.0, 40892.0, 39930.333333333336, 38364.333333333336, 40576.666666666664, 39519.0, 40951.0]"
20,0,1.0000478029251099,41316.666666666664,34681.666666666664,37493.333333333336,5961.333333333333,297289.6666666667,48158.666666666664,376099.6666666667,"[18953.333333333332, 19184.666666666668, 18530.666666666668, 18799.666666666668, 18957.0, 18849.333333333332, 18259.666666666668, 19094.0, 18822.333333333332, 19062.333333333332, 18398.666666666668, 18555.333333333332, 18764.0, 18385.333333333332, 18944.666666666668, 18680.666666666668, 19016.666666666668, 18624.0, 19020.666666666668, 19196.666666666668]"
40,0,1.0000793139139812,39860.666666666664,33611.333333333336,36144.0,5710.0,286992.3333333333,44952.666666666664,362997.0,"[9267.0, 9046.666666666666, 9048.666666666666, 9123.0, 9106.0, 9124.333333333334, 8958.333333333334, 9036.0, 9201.0, 9093.333333333334, 9213.333333333334, 9050.333333333334, 8910.333333333334, 9159.333333333334, 8824.666666666666, 8793.333333333334, 9016.0, 8888.333333333334, 8833.333333333334, 9157.0, 9150.333333333334, 9135.666666666666, 9309.666666666666, 9112.333333333334, 9116.0, 9160.0, 8886.666666666666, 9142.333333333334, 9182.0, 9212.666666666666, 8904.0, 9199.0, 9151.333333333334, 9205.666666666666, 9136.666666666666, 9157.0, 8968.333333333334, 8826.0, 9104.0, 9087.0]"
64,0,1.0002745787302654,37339.333333333336,31759.0,33684.333333333336,5018.333333333333,266824.0,39600.0,337847.6666666667,"[5229.333333333333, 5327.333333333333, 5265.333333333333, 5153.0, 5413.333333333333, 5176.333333333333, 5242.0, 5248.666666666667, 5279.0, 5255.0, 5287.333333333333, 5314.666666666667, 5270.0, 5219.666666666667, 5262.333333333333, 5138.333333333333, 5240.333333333333, 5347.0, 5245.0, 5338.333333333333, 5281.0, 5426.666666666667, 5328.0, 5427.0, 5257.666666666667, 5300.333333333333, 5205.333333333333, 5258.333333333333, 5382.666666666667, 5252.333333333333, 5371.333333333333, 5280.0, 5234.666666666667, 5268.333333333333, 5288.666666666667, 5263.666666666667, 5416.666666666667, 5147.0, 5319.666666666667, 5345.666666666667, 5336.666666666667, 5314.333333333333, 5178.333333333333, 5080.666666666667, 5286.666666666667, 5164.0, 5326.666666666667, 5384.666666666667, 5315.333333333333, 5187.333333333333, 5048.0, 5339.666666666667, 5263.333333333333, 5409.666666666667, 5286.0, 5296.0, 5423.333333333333, 5206.333333333333, 5263.666666666667, 5372.666666666667, 5230.0, 5209.666666666667, 5298.666666666667, 5318.666666666667]"
