threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.000000476837158,3366008,1687814,3285228,1637106,1558573,776265,8209809
2,0,5.0000081062316895,1691747,868344,1683617,818333,797073,388446,4172437
4,0,5.000009059906006,956620,497039,927838,446269,440558,211864,2325016
8,0,5.000028133392334,746828,394120,727305,343549,344901,163114,1819034
10,0,5.000026226043701,636920,340047,620080,289224,293643,137299,1550643
20,0,5.00005578994751,634902,338579,616712,288021,292381,136460,1543995
40,0,5.000136852264404,618005,330650,601445,280070,284830,132602,1504280
64,0,5.000550270080566,613862,328344,596650,277640,282420,131853,1492932
