threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,average_operations_per_thread
1,0,1.0000004371007283,691802.6666666666,367705.6666666667,676409.0,316875.3333333333,320562.0,150390.0,1688773.6666666667,[1688773.6666666667]
2,0,1.0000016689300537,415619.0,232621.0,415113.3333333333,182822.66666666666,196868.33333333334,86592.33333333333,1027600.6666666666,"[573271.6666666666, 454329.0]"
4,0,1.0000098943710327,180809.33333333334,114177.0,175873.66666666666,65085.0,83549.33333333333,30800.333333333332,440232.3333333333,"[95482.33333333333, 110575.33333333333, 119371.0, 114803.66666666667]"
8,0,1.000020702679952,145269.0,95875.0,141337.0,48108.666666666664,66871.33333333333,22802.0,353477.3333333333,"[43532.666666666664, 43946.666666666664, 44072.333333333336, 45205.0, 44940.0, 44691.333333333336, 43189.333333333336, 43900.0]"
10,0,1.000025471051534,131249.0,88428.0,127673.33333333333,41620.0,60793.333333333336,19810.0,319715.6666666667,"[32084.666666666668, 31336.0, 32820.333333333336, 32314.0, 33504.666666666664, 33193.666666666664, 31367.666666666668, 31448.333333333332, 30135.0, 31511.333333333332]"
20,0,1.0000580549240112,121395.66666666667,83165.0,117623.33333333333,37117.0,56341.333333333336,17698.0,295360.3333333333,"[14101.333333333334, 14582.0, 14612.666666666666, 15526.666666666666, 15365.333333333334, 14879.333333333334, 14507.333333333334, 14770.0, 14155.333333333334, 14646.0, 14550.666666666666, 15478.333333333334, 15228.0, 14749.0, 14727.666666666666, 14479.666666666666, 14791.666666666666, 14676.666666666666, 14554.666666666666, 14978.0]"
40,0,1.0001116196314495,127007.0,86175.33333333333,123142.0,39636.0,58734.0,18922.0,308883.0,"[7423.666666666667, 7588.0, 7497.0, 7945.0, 8022.333333333333, 7910.333333333333, 7534.0, 7544.0, 7345.666666666667, 7528.666666666667, 7839.0, 8107.333333333333, 8028.0, 7934.666666666667, 7710.333333333333, 7846.333333333333, 8249.333333333334, 7971.666666666667, 7635.666666666667, 7661.666666666667, 7893.333333333333, 7689.0, 8004.666666666667, 7582.333333333333, 7640.666666666667, 7610.333333333333, 7658.0, 7772.0, 7557.666666666667, 7582.666666666667, 7346.666666666667, 7583.0, 7539.333333333333, 7342.333333333333, 7597.0, 7536.0, 7995.333333333333, 7931.333333333333, 7828.666666666667, 7870.0]"
64,0,1.0005353689193726,123014.0,84101.33333333333,119428.66666666667,37708.0,56961.333333333336,17994.0,299404.0,"[4526.0, 4700.333333333333, 4627.0, 4546.333333333333, 4696.666666666667, 4774.666666666667, 4667.333333333333, 4703.333333333333, 4606.333333333333, 4742.333333333333, 4748.666666666667, 4822.333333333333, 4837.333333333333, 4919.0, 4565.333333333333, 4682.333333333333, 4534.666666666667, 4867.333333333333, 4620.0, 4504.333333333333, 5061.333333333333, 4699.0, 4856.666666666667, 4831.0, 4604.0, 4713.666666666667, 4778.0, 4793.0, 4408.0, 4754.333333333333, 4654.0, 4294.0, 4777.333333333333, 4670.666666666667, 4704.0, 4542.666666666667, 4652.0, 4376.333333333333, 4538.0, 4637.666666666667, 4480.333333333333, 4386.666666666667, 4811.666666666667, 4569.0, 4593.666666666667, 4710.0, 4959.333333333333, 4765.333333333333, 4664.0, 4533.333333333333, 4707.0, 4399.666666666667, 4857.333333333333, 4986.666666666667, 4622.666666666667, 4517.333333333333, 4863.666666666667, 4706.333333333333, 4326.0, 4721.333333333333, 4728.0, 4845.666666666667, 4878.666666666667, 4733.0]"
