threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,1.0000003576278687,698585,371051,683184,320348,323708,151996,1705477,[1705477]
1,1,0,1.0000007152557373,688447,366051,673055,315156,319006,149598,1680508,[1680508]
1,2,0,1.000000238418579,688376,366015,672988,315122,318972,149576,1680336,[1680336]
2,0,0,1.0000005960464478,496339,272786,493585,222681,233942,105136,1223866,"[601672, 622194]"
2,1,0,1.0000025033950806,392477,221030,392433,171324,186543,81339,971453,"[564145, 407308]"
2,2,0,1.0000019073486328,358041,204047,359322,154463,170120,73302,887483,"[553998, 333485]"
4,0,0,1.0000091791152954,182777,115203,177182,65976,84427,31338,444386,"[96767, 108121, 122753, 116745]"
4,1,0,1.0000133514404297,161953,104555,157357,55993,74579,26457,393889,"[78016, 103219, 107866, 104788]"
4,2,0,1.000007152557373,197698,122773,193082,73286,91642,34606,482422,"[111664, 120386, 127494, 122878]"
8,0,0,1.0000261068344116,147868,97166,144249,49202,67911,23261,360028,"[46909, 45073, 44062, 47229, 44378, 44314, 43737, 44326]"
8,1,0,1.000017762184143,155275,100983,151059,52644,71576,25020,377910,"[44984, 47233, 45718, 48724, 48324, 48479, 46410, 48038]"
8,2,0,1.0000182390213013,132664,89476,128703,42480,61127,20125,322494,"[38705, 39534, 42437, 39662, 42118, 41281, 39421, 39336]"
10,0,0,1.0000288486480713,137646,91787,134150,44513,63937,21370,335733,"[31911, 33185, 35634, 33156, 35588, 35304, 33092, 33359, 31516, 32988]"
10,1,0,1.0000286102294922,127987,86580,123799,39962,59259,19024,311045,"[31912, 30167, 33101, 30465, 32303, 32199, 30628, 30287, 29292, 30691]"
10,2,0,1.0000189542770386,128114,86917,125071,40385,59184,19036,312369,"[32431, 30656, 29726, 33321, 32623, 32078, 30383, 30699, 29597, 30855]"
20,0,0,1.0000649690628052,118987,81825,115921,36205,55073,17196,289981,"[14041, 14475, 14552, 15051, 14931, 14551, 14574, 14518, 14165, 14655, 14232, 14915, 14541, 14162, 14329, 14453, 14611, 14133, 14500, 14592]"
20,1,0,1.0000488758087158,122681,83872,118549,37578,56994,17984,298224,"[14090, 14635, 14607, 15585, 15673, 15115, 14765, 14917, 14308, 14557, 14760, 15693, 15632, 14982, 14877, 14277, 14878, 15115, 14539, 15219]"
20,2,0,1.0000603199005127,122519,83798,118400,37568,56957,17914,297876,"[14173, 14636, 14679, 15944, 15492, 14972, 14183, 14875, 13993, 14726, 14660, 15827, 15511, 15103, 14977, 14709, 14886, 14782, 14625, 15123]"
40,0,0,1.0001235008239746,130437,87956,127017,41233,60259,19463,317713,"[7550, 7873, 7963, 8456, 8540, 8204, 7727, 7713, 7556, 7620, 8031, 8555, 8570, 8452, 8240, 7808, 8530, 8217, 7763, 7877, 7796, 8221, 7792, 7570, 8196, 7750, 7594, 7638, 7810, 7831, 7648, 7450, 7657, 7507, 7835, 7765, 7987, 8122, 8472, 7827]"
40,1,0,1.0000967979431152,124555,84921,120452,38384,57715,18521,302722,"[7379, 7466, 7195, 7375, 7711, 7655, 7539, 7383, 7101, 7480, 7587, 7683, 7860, 7571, 7411, 7832, 7967, 7754, 7619, 7504, 7793, 7369, 7995, 7707, 7335, 7588, 7693, 7562, 7462, 7450, 7140, 7672, 7472, 7389, 7516, 7478, 7812, 7833, 7512, 7872]"
40,2,0,1.0001145601272583,126029,85649,121957,39291,58228,18782,306214,"[7342, 7425, 7333, 8004, 7816, 7872, 7336, 7536, 7380, 7486, 7899, 8084, 7654, 7781, 7480, 7899, 8251, 7944, 7525, 7604, 8091, 7477, 8227, 7470, 7391, 7493, 7687, 8116, 7401, 7467, 7252, 7627, 7489, 7131, 7440, 7365, 8187, 7839, 7502, 7911]"
64,0,0,1.000535011291504,122778,83966,119474,37649,57367,18101,299619,"[4718, 4889, 4747, 4414, 4723, 4775, 4732, 4594, 4666, 4522, 4746, 4942, 4854, 4860, 4689, 4842, 4855, 4778, 4594, 4239, 4986, 4819, 4964, 4703, 4575, 4708, 4921, 4747, 4794, 4697, 4823, 4170, 4701, 4580, 4752, 4476, 4888, 4772, 4628, 4820, 3998, 4556, 4883, 4346, 4438, 4576, 4716, 4730, 4647, 4451, 4874, 3846, 5007, 4986, 4696, 4393, 4784, 4543, 4426, 4834, 4762, 4747, 4883, 4794]"
64,1,0,1.000514268875122,123149,84441,119556,37925,56883,18011,299588,"[4710, 4663, 4374, 4719, 4628, 4720, 4665, 4837, 4554, 4826, 4697, 4740, 4817, 4993, 4524, 4791, 4418, 4794, 4525, 4526, 5147, 4601, 4801, 5007, 4551, 4819, 4808, 4884, 4031, 4874, 4627, 4616, 4902, 5006, 4523, 4486, 4292, 4329, 4309, 4466, 4736, 4389, 4978, 4619, 4553, 4846, 5076, 4512, 4949, 4585, 4630, 4473, 4837, 5063, 4510, 4623, 4898, 4924, 3831, 4781, 4886, 4751, 4891, 4647]"
64,2,0,1.0005568265914917,123115,83897,119256,37550,56634,17870,299005,"[4150, 4549, 4760, 4506, 4739, 4829, 4605, 4679, 4599, 4879, 4803, 4785, 4841, 4904, 4483, 4414, 4331, 5030, 4741, 4748, 5051, 4677, 4805, 4783, 4686, 4614, 4605, 4748, 4399, 4692, 4512, 4096, 4729, 4426, 4837, 4666, 4776, 4028, 4677, 4627, 4707, 4215, 4574, 4742, 4790, 4708, 5086, 5054, 4396, 4564, 4617, 4880, 4728, 4911, 4662, 4536, 4909, 4652, 4721, 4549, 4536, 5039, 4862, 4758]"
