threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,average_operations_per_thread
1,0,5.00000015894572,3314257.0,1662352.0,3235311.6666666665,1611861.0,1534851.0,764461.3333333334,8084419.666666667,True,[8084419.666666667]
2,0,5.000004609425862,1703467.0,868960.3333333334,1671928.3333333333,818613.3333333334,792319.6666666666,388196.0,4167715.0,True,"[2290874.6666666665, 1876840.3333333333]"
4,0,5.00001843770345,708659.3333333334,375005.6666666667,689509.3333333334,324334.0,326988.6666666667,153991.0,1725157.3333333333,True,"[447816.6666666667, 420003.3333333333, 420343.0, 436994.3333333333]"
8,0,5.000021139780681,679359.0,360904.3333333333,661248.3333333334,310180.3333333333,313511.6666666667,147033.0,1654119.0,True,"[201700.33333333334, 207722.33333333334, 213184.66666666666, 212462.66666666666, 207702.0, 202952.33333333334, 204036.0, 204358.66666666666]"
10,0,5.000022570292155,618288.3333333334,330703.6666666667,601326.0,280188.0,284552.0,132383.0,1504166.3333333333,True,"[152793.33333333334, 148922.0, 150719.0, 153421.33333333334, 152951.0, 152455.66666666666, 146741.0, 150280.33333333334, 146739.0, 149143.66666666666]"
20,0,5.00007963180542,622066.0,332618.0,605523.0,281972.3333333333,287300.6666666667,133442.66666666666,1514889.6666666667,True,"[77196.66666666667, 76532.66666666667, 75943.66666666667, 76838.0, 76053.66666666667, 76238.33333333333, 75836.0, 76578.66666666667, 72607.0, 78209.0, 76721.0, 78356.66666666667, 73644.66666666667, 74445.0, 73791.33333333333, 75073.33333333333, 73913.0, 75895.0, 76106.0, 74910.0]"
40,0,5.000106970469157,612208.3333333334,327552.6666666667,595469.0,276863.0,281639.3333333333,130994.33333333333,1489316.6666666667,True,"[36714.0, 38120.333333333336, 36644.666666666664, 36934.333333333336, 35805.666666666664, 35830.666666666664, 36880.0, 36871.666666666664, 36984.333333333336, 36113.333333333336, 36809.333333333336, 36469.666666666664, 38721.0, 37689.0, 38232.666666666664, 38444.666666666664, 37921.666666666664, 36122.666666666664, 36472.666666666664, 37201.333333333336, 36625.0, 37494.666666666664, 37013.0, 38586.333333333336, 36254.666666666664, 36980.666666666664, 36733.333333333336, 37361.333333333336, 37477.333333333336, 38265.333333333336, 36707.333333333336, 36432.666666666664, 37326.666666666664, 36205.333333333336, 37202.666666666664, 38711.333333333336, 37998.666666666664, 38340.333333333336, 37818.0, 38798.333333333336]"
64,0,5.000471115112305,605931.6666666666,324279.6666666667,589413.3333333334,273586.3333333333,279164.3333333333,129839.66666666667,1474509.3333333333,True,"[23329.666666666668, 23411.0, 23261.333333333332, 22685.0, 22494.666666666668, 22875.666666666668, 22964.666666666668, 22991.0, 22711.0, 23235.666666666668, 22905.0, 23286.333333333332, 23258.333333333332, 23426.666666666668, 22827.333333333332, 23367.666666666668, 23367.666666666668, 23084.666666666668, 22966.0, 23085.0, 22142.666666666668, 23007.333333333332, 23006.0, 23463.666666666668, 23375.0, 22990.0, 23082.333333333332, 22639.666666666668, 22915.666666666668, 23629.333333333332, 23127.333333333332, 22999.666666666668, 23451.333333333332, 23136.666666666668, 23407.333333333332, 23693.0, 22902.333333333332, 23015.666666666668, 23077.0, 23654.666666666668, 22634.0, 23108.333333333332, 23083.666666666668, 23500.333333333332, 22658.0, 22511.0, 22957.0, 22578.666666666668, 23467.0, 22788.333333333332, 22910.333333333332, 22909.0, 22954.666666666668, 22598.0, 22887.0, 22892.0, 22832.666666666668, 23061.0, 22945.0, 23521.666666666668, 22685.0, 23221.666666666668, 23158.666666666668, 22395.333333333332]"
