threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,average_operations_per_thread
1,0,1.0000005960464478,669984.0,355805.0,653042.0,305343.0,308656.0,144682.0,1631682.0,True,[1631682.0]
2,0,1.0000008344650269,597152.0,318215.0,570895.0,267145.0,269809.0,126479.0,1437856.0,True,"[712276.0, 725580.0]"
4,0,1.000011920928955,183934.0,115477.0,177632.0,65992.0,84212.0,31207.0,445778.0,True,"[116980.0, 90461.0, 118224.0, 120113.0]"
8,0,1.0000211000442505,148226.0,97576.0,144366.0,49453.0,68422.0,23506.0,361014.0,True,"[45173.0, 46510.0, 45712.0, 44419.0, 43783.0, 44788.0, 44594.0, 46035.0]"
10,0,1.0000133514404297,150221.0,98456.0,145957.0,50312.0,69611.0,23981.0,365789.0,True,"[36134.0, 36788.0, 36520.0, 35550.0, 35684.0, 37831.0, 37205.0, 37212.0, 36250.0, 36615.0]"
20,0,1.0000479221343994,135553.0,90882.0,132003.0,43774.0,62191.0,20437.0,329747.0,True,"[16457.0, 16152.0, 16376.0, 16193.0, 16151.0, 17004.0, 17510.0, 16758.0, 16520.0, 16655.0, 16275.0, 16711.0, 16162.0, 16334.0, 17454.0, 15949.0, 16005.0, 16742.0, 16099.0, 16240.0]"
40,0,1.0001071691513062,127833.0,86538.0,124245.0,39869.0,58212.0,18606.0,310290.0,True,"[7505.0, 7535.0, 7765.0, 7685.0, 7603.0, 7961.0, 7738.0, 7898.0, 7663.0, 7883.0, 7636.0, 7758.0, 7564.0, 7955.0, 7689.0, 7600.0, 7933.0, 8164.0, 7999.0, 7914.0, 7592.0, 7883.0, 7700.0, 7777.0, 7910.0, 7733.0, 7769.0, 7468.0, 7761.0, 7711.0, 7405.0, 7748.0, 7535.0, 7809.0, 8186.0, 7847.0, 7557.0, 7722.0, 7823.0, 7906.0]"
64,0,1.0004758834838867,119451.0,81961.0,115960.0,36123.0,54825.0,17003.0,290236.0,True,"[4378.0, 4665.0, 4591.0, 4592.0, 4506.0, 4375.0, 4354.0, 4419.0, 4400.0, 4617.0, 4588.0, 4556.0, 4407.0, 4464.0, 4683.0, 4736.0, 4905.0, 4266.0, 4472.0, 4611.0, 4306.0, 4187.0, 4504.0, 4343.0, 4400.0, 4512.0, 4952.0, 4292.0, 4627.0, 4289.0, 4304.0, 4736.0, 4780.0, 4724.0, 4701.0, 4816.0, 4703.0, 4902.0, 4559.0, 4316.0, 4625.0, 4508.0, 4173.0, 4621.0, 4698.0, 4944.0, 4502.0, 4236.0, 4753.0, 4536.0, 4578.0, 4735.0, 4435.0, 4730.0, 4342.0, 4735.0, 4731.0, 4375.0, 4462.0, 4522.0, 4419.0, 4123.0, 4452.0, 4463.0]"
