threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.0,607314,316834,551636,264553,4361363,2090469,5520313
2,0,5.000002384185791,576758,302011,522617,249394,4131537,1970022,5230912
4,0,5.000002384185791,477184,254514,433177,202269,3422722,1601078,4333083
8,0,5.000020503997803,465901,249317,423460,197109,3343089,1557982,4232450
10,0,5.0151286125183105,340945,189811,309755,137369,2448265,1087520,3098965
20,0,5.000059127807617,406905,221569,369968,168852,2922431,1337621,3699304
40,0,5.000362396240234,364011,201099,331075,148563,2615077,1176189,3310163
64,0,5.001218318939209,395188,215618,358496,163095,2834668,1292149,3588352
