threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.000001072883606,87131,63561,77950,21004,619793,167582,784874
2,0,1.0000014305114746,78719,58934,70879,18018,560307,142609,709905
4,0,1.000004768371582,58457,46378,52174,10747,415891,87573,526522
8,0,1.0018242597579956,63725,49531,56825,12488,450792,100782,571342
10,0,1.0082131624221802,66404,51421,59662,13783,474551,108222,600617
20,0,1.0001490116119385,63625,49727,56810,12453,451196,100892,571631
40,0,1.0005059242248535,58455,46242,52282,10852,415469,87293,526206
64,0,1.007279396057129,54005,43440,48593,9531,383554,76026,486152
