threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,1.000000238418579,270826,156374,246115,104562,1945617,824946,2462558,1,[2462558]
1,1,0,1.0000005960464478,273336,157573,248416,105735,1963688,834266,2485440,1,[2485440]
1,2,0,1.0000003576278687,273575,157718,248631,105848,1965466,835156,2487672,1,[2487672]
2,0,0,1.0000017881393433,198270,121136,180068,70055,1417714,552606,1796052,1,"[894500, 901552]"
2,1,0,1.0000003576278687,198780,121394,180356,70466,1421570,554142,1800706,1,"[897219, 903487]"
2,2,0,1.0000009536743164,199640,121792,181208,70742,1429855,559317,1810703,1,"[901291, 909412]"
4,0,0,1.000002384185791,113451,78190,102500,31855,809420,252128,1025371,1,"[98476, 314451, 303137, 309307]"
4,1,0,1.0000030994415283,94444,67812,85335,23982,671501,190193,851280,1,"[62918, 270087, 257078, 261197]"
4,2,0,1.0000030994415283,92020,66512,82817,22978,656473,182922,831310,1,"[248538, 250500, 259209, 73063]"
8,0,0,1.000016212463379,96466,69006,86978,25003,687247,196306,870691,1,"[169458, 76445, 16252, 33370, 164291, 152139, 117237, 141499]"
8,1,0,1.0000165700912476,73398,55702,65741,16095,522003,127287,661142,1,"[196293, 7531, 59110, 57703, 155164, 158951, 23018, 3372]"
8,2,0,1.0000144243240356,73750,55813,66244,16095,523332,127813,663326,1,"[194867, 194727, 206561, 35390, 15349, 5780, 5382, 5270]"
10,0,0,1.0000170469284058,80624,59714,72216,18427,572266,148254,725106,1,"[119241, 152190, 206624, 85055, 5183, 1684, 6906, 2952, 70810, 74461]"
10,1,0,1.0000180006027222,83249,61341,74421,19492,591353,155066,749023,1,"[9047, 101054, 271042, 267421, 1719, 3527, 41730, 6626, 45516, 1341]"
10,2,0,1.0000213384628296,83039,61328,74745,19411,592024,156119,749808,1,"[9462, 116454, 270464, 266206, 1945, 3138, 39940, 5663, 35256, 1280]"
20,0,0,1.0000749826431274,106907,74759,96514,29151,761230,229775,964651,1,"[195, 4053, 462083, 7312, 6665, 95, 51, 483, 246, 47, 235, 1899, 2291, 3706, 3285, 1256, 460796, 7240, 1078, 1635]"
20,1,0,1.000057339668274,105638,74110,95051,28600,751550,225807,952239,1,"[411959, 6448, 41772, 411678, 4625, 91, 61, 1277, 298, 1195, 140, 797, 11568, 2012, 6351, 85, 45525, 4605, 443, 1309]"
20,2,0,1.0000648498535156,105200,73795,94589,28420,747963,224533,947752,1,"[257848, 3843, 110844, 352418, 92733, 107, 807, 202, 78754, 8220, 135, 1341, 1390, 26020, 2936, 1123, 3559, 3565, 1446, 461]"
40,0,0,1.000146508216858,96812,69068,87251,24965,688009,197054,872072,1,"[417, 3443, 138599, 146516, 541, 27689, 480, 40817, 458, 261, 496, 882, 221, 108, 372, 559, 258, 83, 175, 158, 496, 4341, 127320, 538, 274, 133, 154, 197, 102202, 4158, 110884, 13393, 291, 247, 171, 142304, 366, 814, 665, 591]"
40,1,0,1.0001513957977295,97882,69896,88473,25449,697742,201926,884097,1,"[22526, 1147, 145527, 147567, 538, 7528, 738, 147924, 631, 237, 296, 1056, 45, 46, 199, 510, 231, 179, 310, 262, 720, 30, 122565, 519, 142, 414, 263, 452, 165, 1801, 132935, 7471, 180, 319, 30, 136954, 184, 50, 779, 627]"
40,2,0,1.0001513957977295,94110,67766,84817,24093,668230,188080,847157,1,"[20343, 1654, 140380, 138522, 942, 2460, 865, 2830, 13886, 58948, 2276, 1722, 451, 67157, 66, 2006, 737, 207, 81, 80, 275, 366, 7258, 112565, 18962, 1530, 132573, 93, 60, 53, 30100, 54114, 772, 90, 25883, 2640, 47, 889, 834, 2440]"
64,0,0,1.0002557039260864,81405,60458,73075,18856,577502,150765,731982,1,"[101, 1811, 899, 867, 402, 182, 803, 526, 1747, 45883, 489, 1018, 154, 75, 141, 113, 180, 310, 147, 13, 834, 810, 44, 50854, 279, 1333, 101158, 610, 145, 33, 107, 1698, 200, 1128, 695, 1643, 78, 438, 744, 2907, 89829, 421, 107925, 1526, 869, 975, 417, 84457, 2620, 2143, 99177, 536, 1936, 39, 95, 910, 2162, 228, 229, 87, 829, 691, 1145, 111137]"
64,1,0,1.0002057552337646,83046,61333,74994,19549,591905,155125,749945,1,"[92418, 1776, 266, 246, 393, 374, 383, 516, 1763, 46505, 537, 1437, 156, 76, 149, 35, 153, 284, 121, 9, 640, 830, 93, 51913, 584, 1362, 102134, 512, 284, 57, 86, 1208, 160, 967, 620, 1378, 29, 218, 867, 2511, 161, 391, 112474, 2425, 777, 1001, 301, 87083, 3823, 717, 103182, 14, 2844, 52, 128, 635, 2001, 474, 336, 17, 1174, 760, 1114, 114011]"
64,2,0,1.0002020597457886,81908,60754,73692,19093,581600,151814,737200,1,"[91717, 2154, 249, 48592, 1036, 139, 646, 741, 1504, 45432, 597, 1716, 138, 37, 144, 33, 128, 467, 93, 4, 612, 951, 76, 2270, 387, 1203, 4679, 479, 108, 15, 79, 1196, 118, 934, 511, 1604, 28, 237, 1103, 2754, 49, 375, 109679, 1902, 609, 879, 305, 5979, 3223, 851, 101473, 11, 2385, 47, 166, 631, 2138, 308, 319, 79469, 965, 97255, 1248, 112023]"
