threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,average_operations_per_thread
1,0,5.0,1208179.3333333333,603291.3333333334,1098620.6666666667,550911.6666666666,8679389.666666666,4349736.0,10986189.666666666,True,[10986189.666666666]
2,0,5.000003178914388,686175.0,354546.3333333333,623743.3333333334,302227.0,4928731.0,2386709.6666666665,6238649.333333333,True,"[3012502.0, 3226147.3333333335]"
4,0,5.000003973642985,449442.0,241594.0,408193.6666666667,189090.0,3229487.6666666665,1498451.3333333333,4087123.3333333335,True,"[704360.3333333334, 1047445.3333333334, 1172451.0, 1162866.6666666667]"
8,0,5.000014623006185,432004.3333333333,233168.33333333334,391817.6666666667,180661.33333333334,3098537.6666666665,1430607.6666666667,3922359.6666666665,True,"[1414403.0, 400071.3333333333, 18903.333333333332, 535703.3333333334, 13209.0, 612725.3333333334, 731411.6666666666, 195932.66666666666]"
10,0,5.0000254313151045,420733.6666666667,228188.0,382242.3333333333,175653.0,3024001.3333333335,1390399.6666666667,3826977.3333333335,True,"[1383331.0, 166751.66666666666, 11764.0, 796137.0, 3725.3333333333335, 18338.333333333332, 34592.333333333336, 1130571.6666666667, 36391.333333333336, 245374.66666666666]"
20,0,5.000066598256429,525656.6666666666,277774.6666666667,477162.3333333333,225346.66666666666,3769115.0,1781899.3333333333,4771934.0,True,"[2233938.3333333335, 2670.6666666666665, 39187.333333333336, 8672.333333333334, 525.6666666666666, 15867.333333333334, 6791.333333333333, 39386.333333333336, 974.0, 6348.0, 77274.0, 5806.0, 11884.333333333334, 51096.333333333336, 2225522.6666666665, 9928.666666666666, 12881.0, 263.0, 22157.333333333332, 759.3333333333334]"
40,0,5.0001529057820635,502517.3333333333,266890.0,456325.0,214555.66666666666,3608939.0,1696732.0,4567781.333333333,True,"[164112.0, 12349.666666666666, 46864.333333333336, 13335.0, 1534.6666666666667, 48410.666666666664, 13063.666666666666, 2380.0, 3800.3333333333335, 145937.66666666666, 33478.0, 638.6666666666666, 3540.6666666666665, 17063.666666666668, 148420.33333333334, 416.0, 224.33333333333334, 350.6666666666667, 721.6666666666666, 861.6666666666666, 4769.333333333333, 860.3333333333334, 6225.666666666667, 43565.666666666664, 1876634.0, 782.6666666666666, 10658.666666666666, 807.0, 529.3333333333334, 8488.0, 1361.3333333333333, 834.3333333333334, 1859.6666666666667, 4331.333333333333, 4190.666666666667, 814.6666666666666, 1929716.6666666667, 1384.6666666666667, 742.3333333333334, 11721.333333333334]"
64,0,5.000200907389323,403544.0,219575.33333333334,366137.0,167065.0,2892578.3333333335,1321632.6666666667,3662259.3333333335,True,"[302914.0, 1730.3333333333333, 225640.66666666666, 11076.0, 137547.0, 257419.66666666666, 320066.0, 181891.33333333334, 324587.6666666667, 17265.0, 3497.6666666666665, 296146.0, 601.6666666666666, 1807.6666666666667, 7100.666666666667, 5681.666666666667, 94657.66666666667, 2284.3333333333335, 399.3333333333333, 805.3333333333334, 1902.0, 153.66666666666666, 8110.666666666667, 137841.66666666666, 44245.0, 767.0, 41086.333333333336, 136042.0, 805.3333333333334, 860.6666666666666, 1222.0, 7381.666666666667, 1149.3333333333333, 5890.333333333333, 4151.666666666667, 3426.0, 7156.333333333333, 227.33333333333334, 97.33333333333333, 2171.0, 4833.333333333333, 2855.3333333333335, 96088.33333333333, 859.0, 226495.66666666666, 3440.6666666666665, 22303.0, 647.6666666666666, 676.6666666666666, 366.6666666666667, 963.3333333333334, 651.3333333333334, 45657.0, 4862.666666666667, 138.0, 11926.666666666666, 1182.6666666666667, 4444.0, 5077.666666666667, 1622.0, 453468.6666666667, 166399.66666666666, 6316.333333333333, 3176.0]"
