threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,5.0,1317068,655079,1197001,602765,9465331,4756415,11979400,[11979400]
1,1,0,5.000000476837158,1321162,657059,1200528,604622,9494078,4771479,12015768,[12015768]
1,2,0,5.0,1321794,657353,1201131,604943,9498464,4773735,12021389,[12021389]
2,0,0,5.000000953674316,901930,457164,819650,404991,6472819,3191792,8194399,"[4159022, 4035377]"
2,1,0,5.000008583068848,571071,299101,518527,246711,4096478,1950811,5186076,"[2394637, 2791439]"
2,2,0,5.000004291534424,417667,226098,378752,173838,3003224,1378027,3799643,"[1296576, 2503067]"
4,0,0,5.000004291534424,411496,223406,374311,170919,2958381,1353178,3744188,"[128456, 1196235, 1179245, 1240252]"
4,1,0,5.000004291534424,473007,252430,430322,200203,3399196,1583356,4302525,"[1301720, 1437781, 1426917, 136107]"
4,2,0,5.00000524520874,473721,252587,429983,200258,3400182,1583548,4303886,"[1354914, 1402024, 203581, 1343367]"
8,0,0,5.000020980834961,405226,220315,367694,167809,2913961,1331800,3686881,"[788992, 1223142, 4926, 961372, 33300, 390232, 41368, 243549]"
8,1,0,5.000016689300537,385369,210839,350181,158528,2770930,1255965,3506480,"[667975, 1163546, 21995, 1112956, 14429, 460002, 21035, 44542]"
8,2,0,5.000014781951904,386899,211395,351014,158998,2782441,1262491,3520354,"[1036060, 1156601, 133282, 26100, 21314, 1128747, 11235, 7015]"
10,0,0,5.000026226043701,379991,208425,345617,156086,2736330,1235970,3461938,"[56807, 1069972, 1061771, 43109, 3658, 1169640, 9614, 27123, 9253, 10991]"
10,1,0,5.000027179718018,384185,210710,349409,158264,2764915,1248479,3498509,"[62594, 989727, 949315, 180568, 4486, 1234721, 7610, 23109, 3415, 42964]"
10,2,0,5.000019073486328,400200,218171,363286,165795,2877801,1310188,3641287,"[8944, 1359298, 694482, 23107, 7705, 1379915, 4325, 23540, 3607, 136364]"
20,0,0,5.000063419342041,472673,252728,430180,200206,3398644,1582748,4301497,"[838953, 338466, 866222, 44906, 80733, 1130757, 26090, 13946, 21123, 14903, 10401, 34234, 5368, 25097, 15058, 736910, 19742, 59382, 5065, 14141]"
20,1,0,5.00005578994751,492615,261865,448226,209502,3536413,1654696,4477254,"[54601, 921, 1420138, 186342, 1417053, 118012, 101051, 470568, 13690, 9075, 10636, 2668, 10969, 186072, 366, 738, 2344, 470393, 471, 1146]"
20,2,0,5.00005578994751,501170,265744,454965,213286,3596586,1689058,4552721,"[20320, 9115, 995243, 149203, 990480, 763307, 76292, 337867, 11580, 702169, 8407, 1781, 1360, 140139, 66023, 1555, 10499, 266103, 595, 683]"
40,0,0,5.000123023986816,489646,260385,445786,207765,3524684,1647976,4460116,"[32068, 14889, 22917, 18763, 699, 152676, 1923, 1946, 1003, 177768, 5081, 1437, 460, 536, 22113, 4339, 1096, 5237, 854, 651, 1823, 4229, 11697, 1947, 6786, 185469, 1270, 1143, 1772445, 9801, 5409, 117901, 12406, 301, 5474, 752, 1809573, 16083, 15675, 13476]"
40,1,0,5.000137805938721,486182,259060,442470,206677,3498571,1634997,4427223,"[734617, 4988, 23601, 7282, 721, 674071, 935, 852, 750, 744678, 3139, 1206, 571, 828, 23323, 1354, 640, 3159, 639, 721, 1194, 1323, 4399, 1316, 4004, 764766, 818, 1106, 633575, 7727, 3825, 515, 8924, 197, 3212, 270, 751536, 1342, 5375, 3724]"
40,2,0,5.000151634216309,493700,262225,449423,209983,3551586,1663202,4494709,"[276078, 11155, 25095, 15243, 631, 251136, 1730, 1560, 699, 1668596, 6633, 2136, 575, 840, 24631, 600, 1060, 6708, 1069, 638, 2109, 1136, 7921, 1136, 4878, 286998, 837, 996, 172476, 8557, 4484, 516, 9015, 207, 6052, 573, 1668167, 3080, 11751, 7007]"
64,0,0,5.000210762023926,381527,209004,346794,156815,2745559,1241959,3473880,"[482920, 2269, 12530, 6866, 901, 194925, 205, 2303, 1080, 9907, 3118, 5760, 6364, 1926, 9554, 109, 1499, 595, 2328, 340, 759, 236, 7658, 751, 1770, 7002, 5271, 1350, 10613, 1590, 19671, 448, 14020, 185, 3785, 781, 3890, 7305, 3240, 8073, 514002, 650, 200413, 1927, 501, 425889, 1328, 7803, 1328, 524839, 151, 643, 1288, 1192, 436582, 481284, 1316, 7299, 12686, 1161, 1649, 919, 3653, 1480]"
64,1,0,5.000184059143066,380990,208962,345654,156470,2737488,1238343,3464132,"[480993, 2177, 13598, 3577, 999, 192148, 203, 2965, 1407, 10001, 2918, 5297, 7650, 2313, 10603, 130, 1367, 575, 5401, 428, 919, 246, 3667, 740, 2042, 7852, 4503, 1748, 10672, 1060, 17482, 426, 12399, 133, 4124, 829, 2450, 8884, 3160, 8075, 512081, 760, 198373, 800, 512, 424548, 661, 8472, 1497, 526026, 1024, 160, 1323, 1194, 436782, 479446, 3500, 7540, 14040, 781, 1590, 1176, 4205, 1480]"
64,2,0,5.000192642211914,379947,208138,344466,155798,2730956,1234150,3455369,"[478675, 2130, 11943, 3214, 971, 190044, 141, 2607, 1125, 9999, 2400, 159, 9711, 1937, 9237, 125, 1134, 476, 5779, 418, 1061, 122, 6335, 5671, 2007, 6689, 4492, 1382, 12621, 849, 17661, 297, 12485, 101, 3226, 803, 1709, 6804, 4041, 8102, 514962, 781, 200310, 674, 628, 424724, 398, 6779, 1142, 522407, 4991, 164, 488, 849, 432538, 480187, 742, 8875, 16894, 596, 1086, 1343, 4215, 913]"
