threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.0000001192092896,663514,352649,646499,302108,305598,143170,1615611
2,0,1.0000004768371582,457941,251179,445188,200841,210403,95068,1113532
4,0,1.0000101327896118,204427,126079,199241,76288,94298,36098,497966
8,0,1.000017523765564,135838,90917,132100,43904,62543,20795,330481
10,0,1.000025749206543,125299,85248,122443,38929,57795,18326,305537
20,0,1.000063180923462,135134,90622,131600,43436,62073,20490,328807
40,0,1.0001181364059448,126617,85922,122235,39184,58604,18896,307456
64,0,1.000504493713379,122691,83969,118637,37507,55947,17890,297275
