threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,5.000000476837158,3237382,1624516,3160253,1573852,1499230,746488,7896865,1,[7896865]
2,0,0,5.000002384185791,2373651,1209805,2365149,1159972,1120547,549564,5859347,1,"[2789298, 3070049]"
4,0,0,5.000013828277588,868684,453166,841409,402347,399050,191145,2109143,1,"[529523, 539891, 467062, 572667]"
8,0,0,5.000024795532227,541459,292666,526534,242077,249395,114914,1317388,1,"[159369, 153961, 154792, 161109, 178507, 186889, 161758, 161003]"
10,0,0,5.000045299530029,550048,297218,537958,246822,254343,116415,1342349,1,"[124444, 127588, 129291, 132479, 134811, 137500, 126451, 129732, 152360, 147693]"
20,0,0,5.000038146972656,596227,319706,581508,269163,274962,127958,1452697,1,"[67904, 70592, 70426, 68732, 64746, 74537, 69808, 70774, 80197, 76554, 72509, 76020, 79645, 75868, 79216, 68901, 77945, 67768, 74534, 66021]"
40,0,0,5.000117301940918,619292,330857,602697,280169,284686,132194,1506675,1,"[37187, 36153, 36523, 36905, 36609, 36801, 36844, 36289, 37394, 37904, 36903, 36824, 36625, 38303, 37764, 36855, 37603, 37433, 37318, 36267, 36972, 37550, 39506, 37540, 37616, 37773, 39729, 37099, 37681, 38941, 39019, 38309, 38271, 37348, 38183, 38993, 38726, 39348, 38866, 38701]"
64,0,0,5.000467777252197,609922,326450,592857,275800,280582,130432,1483361,1,"[21808, 22801, 23430, 23416, 22587, 23256, 22514, 22946, 23350, 22007, 23305, 22920, 22206, 23420, 23367, 23350, 22607, 22640, 23047, 23267, 22797, 23549, 23328, 23430, 23648, 23231, 23372, 23460, 23112, 23548, 23805, 23383, 23292, 23372, 23056, 22430, 23318, 23720, 23874, 23553, 23830, 23136, 22732, 23540, 23011, 23151, 23000, 22694, 23149, 23550, 23488, 23424, 23839, 23507, 23129, 23964, 23351, 22492, 22841, 22839, 23615, 23424, 22951, 23182]"
