threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,average_operations_per_thread
1,0,5.000000476837158,3286917.3333333335,1650327.6666666667,3206642.0,1599770.3333333333,1524017.0,758946.0,8017576.333333333,[8017576.333333333]
2,0,5.000003655751546,1976613.3333333333,997351.3333333334,1910614.0,946572.0,906562.3333333334,449292.6666666667,4793789.666666667,"[2645106.3333333335, 2148683.3333333335]"
4,0,5.000022252400716,838677.3333333334,439404.3333333333,817134.3333333334,388668.0,387963.0,184541.66666666666,2043774.6666666667,"[524009.0, 507309.3333333333, 518229.3333333333, 494227.0]"
8,0,5.000027497609456,619276.6666666666,331656.3333333333,604314.0,280896.6666666667,287431.3333333333,133479.33333333334,1511022.0,"[189105.0, 188420.0, 191499.66666666666, 190771.66666666666, 181983.66666666666, 191916.0, 187015.33333333334, 190310.66666666666]"
10,0,5.000591437021892,641721.6666666666,342736.3333333333,626216.6666666666,292038.0,297277.6666666667,138662.33333333334,1565216.0,"[162424.0, 160534.0, 159298.33333333334, 153590.66666666666, 157311.33333333334, 150828.66666666666, 154169.0, 148847.33333333334, 159943.33333333334, 158269.33333333334]"
20,0,5.000054836273193,630195.3333333334,337103.0,614712.6666666666,286412.0,292388.0,136032.33333333334,1537296.0,"[74822.33333333333, 76369.33333333333, 77600.66666666667, 77736.66666666667, 76946.33333333333, 77025.0, 79649.33333333333, 75399.33333333333, 76817.0, 76178.66666666667, 75182.33333333333, 76313.0, 79156.0, 77337.33333333333, 77674.33333333333, 78302.33333333333, 75088.0, 76124.66666666667, 76952.0, 76621.33333333333]"
40,0,5.000102202097575,617158.6666666666,330496.0,602423.0,279855.6666666667,286019.0,132980.66666666666,1505600.6666666667,"[37133.0, 37076.666666666664, 37602.666666666664, 37357.666666666664, 37365.333333333336, 38154.666666666664, 38758.666666666664, 37110.666666666664, 37223.0, 37299.0, 37113.0, 36764.333333333336, 38735.666666666664, 38108.0, 38323.666666666664, 38841.0, 36795.666666666664, 36549.666666666664, 36991.333333333336, 37214.333333333336, 38153.666666666664, 37704.333333333336, 37753.0, 37558.666666666664, 37893.666666666664, 38257.666666666664, 38146.333333333336, 37430.666666666664, 37343.333333333336, 37157.0, 37893.666666666664, 38296.0, 37024.666666666664, 38028.0, 37111.666666666664, 37698.333333333336, 38480.0, 37665.0, 37998.0, 37489.0]"
64,0,5.000518639882405,605601.0,324663.0,589812.3333333334,273812.3333333333,280841.6666666667,130669.33333333333,1476255.0,"[23016.0, 22845.0, 22926.333333333332, 22506.666666666668, 23203.666666666668, 23106.0, 22971.333333333332, 22359.0, 22894.333333333332, 23372.0, 23222.666666666668, 22467.666666666668, 23152.333333333332, 23203.333333333332, 22766.0, 23144.666666666668, 22754.666666666668, 22981.0, 22722.333333333332, 22958.0, 23157.333333333332, 23068.0, 23097.333333333332, 22711.666666666668, 23207.333333333332, 23248.333333333332, 22340.333333333332, 23283.333333333332, 22786.333333333332, 22886.0, 22891.666666666668, 22912.333333333332, 22871.666666666668, 23099.0, 22810.666666666668, 22748.666666666668, 23475.333333333332, 23285.666666666668, 23016.0, 23100.0, 23300.666666666668, 23271.0, 23334.0, 22555.333333333332, 23109.666666666668, 23158.333333333332, 23251.0, 22835.0, 23338.666666666668, 23326.666666666668, 23275.0, 23236.333333333332, 23177.0, 23369.0, 22989.0, 23390.0, 23450.333333333332, 23346.333333333332, 23636.333333333332, 23420.333333333332, 23076.333333333332, 23132.666666666668, 23381.0, 23325.0]"
