threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.000000476837158,3314179,1662414,3235072,1611597,1534776,764325,8084027
2,0,5.000000953674316,1427424,735598,1415821,685434,671570,325841,3514815
4,0,5.0000128746032715,733034,387305,712491,336615,337886,159393,1783411
8,0,5.000021457672119,683080,362411,664633,311994,316071,148179,1663784
20,0,5.000068664550781,621049,331801,604803,281364,286275,133786,1512127
40,0,5.000125885009766,600889,321202,583867,270419,276468,128360,1461224
64,0,5.000487327575684,598264,320889,582024,270213,275473,127851,1455761
