threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,5.0,1011580,509262,919474,456685,7273566,3621874,9204620,1,[9204620]
1,1,0,5.000000476837158,1000256,503856,909278,451298,7191959,3579032,9101493,1,[9101493]
1,2,0,5.0,1001080,504255,910006,451680,7197630,3582124,9108716,1,[9108716]
2,0,0,5.000003814697266,523448,279315,484884,227202,3842455,1796198,4850787,1,"[3105115, 1745672]"
2,1,0,5.000002384185791,564319,298181,522007,246376,4141932,1954860,5228258,1,"[3109206, 2119052]"
2,2,0,5.000003337860107,519096,277176,483323,225220,3832271,1788849,4834690,1,"[3034803, 1799887]"
4,0,0,5.00000524520874,254623,147898,230987,95861,1823383,762306,2308993,1,"[620699, 450785, 627465, 610044]"
4,1,0,5.000002384185791,255644,148783,231614,96568,1829102,767661,2316360,1,"[618526, 528403, 628273, 541158]"
4,2,0,5.000007629394531,302691,171083,273842,118958,2165175,940829,2741708,1,"[670346, 676760, 714233, 680369]"
8,0,0,5.00001335144043,192074,118448,174541,67453,1377534,531366,1744149,1,"[205541, 213180, 214886, 214996, 226434, 222900, 222000, 224212]"
8,1,0,5.000023365020752,211325,127594,192399,76308,1517349,601192,1921073,1,"[230839, 233896, 239666, 241080, 240875, 242199, 246687, 245831]"
8,2,0,5.000011444091797,201529,122995,184122,71845,1448706,566802,1834357,1,"[215677, 230085, 225889, 229774, 235753, 228316, 234746, 234117]"
10,0,0,5.0000224113464355,197433,121065,179864,69744,1418086,550089,1795383,1,"[178213, 179569, 176990, 178015, 185965, 178506, 183031, 181480, 182652, 170962]"
10,1,0,5.000010967254639,194696,119353,177211,68477,1399798,542020,1771705,1,"[176140, 176372, 174971, 174883, 183336, 174141, 181032, 180661, 181620, 168549]"
10,2,0,5.000016689300537,195281,119764,177744,68575,1400087,540375,1773112,1,"[174135, 176386, 175236, 176047, 184074, 175310, 181368, 180034, 182633, 167889]"
20,0,0,5.000043869018555,191628,118066,174187,67094,1377045,528232,1742860,1,"[85595, 86314, 86271, 85488, 87765, 86105, 87697, 86000, 90118, 83219, 88352, 89873, 88995, 87902, 85692, 84967, 85596, 89480, 88120, 89311]"
20,1,0,5.000059127807617,189084,116586,171192,65814,1353359,518880,1713635,1,"[85745, 86644, 86210, 84472, 84698, 84565, 86295, 85030, 84772, 85885, 86728, 85537, 88088, 88485, 83174, 87470, 82236, 88324, 85210, 84067]"
20,2,0,5.00004768371582,190623,117315,172826,66439,1363379,523105,1726828,1,"[85474, 86744, 87041, 85251, 85432, 85504, 87695, 90032, 84749, 90199, 87555, 88656, 86821, 84554, 86954, 84914, 83131, 83522, 89833, 82767]"
40,0,0,5.000096321105957,185862,115366,169523,64751,1333942,507116,1689327,1,"[41987, 42158, 41445, 41561, 42257, 41714, 42027, 41725, 42719, 42186, 42691, 42579, 43148, 41832, 42465, 41054, 40344, 40224, 42397, 40721, 44089, 41896, 42350, 43340, 42906, 41772, 41588, 42957, 43213, 42540, 42373, 42471, 41939, 42377, 42979, 43808, 41787, 43547, 41522, 42639]"
40,1,0,5.000080108642578,184751,114648,167500,64024,1322646,503657,1674897,1,"[41986, 41551, 40171, 41678, 41261, 41249, 42130, 42994, 42308, 41564, 42357, 41526, 42426, 41589, 41723, 40249, 39867, 39824, 41664, 39924, 43592, 41614, 41904, 43168, 43040, 41235, 42202, 41775, 42994, 41792, 42150, 42231, 43084, 42111, 43234, 43044, 41127, 43054, 41911, 41594]"
40,2,0,5.000090599060059,188185,116271,170305,65333,1342496,514144,1700986,1,"[42626, 43936, 40768, 42002, 42380, 41839, 43035, 42517, 42650, 40924, 42715, 43724, 43106, 41933, 42320, 40942, 40820, 40758, 41977, 40922, 41836, 42315, 42780, 44113, 42158, 43596, 44199, 43339, 43485, 42565, 42630, 42763, 42128, 43040, 44256, 42917, 41861, 43874, 42869, 42368]"
64,0,0,5.000515937805176,183430,114285,167551,63724,1318784,498620,1669765,1,"[25578, 26305, 25422, 26263, 26220, 26104, 26058, 25721, 24542, 26074, 26261, 26287, 25961, 25681, 26086, 26552, 25029, 26754, 26506, 26016, 26126, 25905, 25356, 26460, 26731, 26690, 26616, 26159, 26079, 25155, 25498, 26549, 26245, 26370, 25952, 25719, 26047, 26751, 25192, 26200, 26158, 26102, 26658, 26051, 25429, 25735, 26512, 26472, 25379, 25883, 26571, 26536, 26100, 25622, 26135, 24842, 26424, 25468, 26549, 27207, 26678, 26988, 27005, 26041]"
64,1,0,5.000485897064209,184643,114551,167815,63887,1323148,503597,1675606,1,"[25827, 26700, 26372, 25618, 26662, 26379, 25347, 26901, 26348, 26424, 26016, 25830, 26716, 25086, 26431, 26279, 26658, 26198, 24806, 26263, 25461, 26157, 26019, 26558, 25316, 24616, 27144, 24946, 23564, 26009, 26142, 26192, 26426, 26471, 26877, 26606, 26555, 26548, 26339, 26715, 25833, 26242, 25769, 25457, 26668, 26599, 26740, 26305, 26389, 25642, 26841, 26082, 26854, 25412, 25155, 26519, 26492, 26856, 27321, 26541, 26757, 25508, 27124, 26978]"
64,2,0,5.000478744506836,185087,114686,167996,63935,1324724,502943,1677807,1,"[26124, 26198, 25879, 25791, 25849, 26575, 26794, 26048, 25829, 26876, 26163, 25508, 25441, 26134, 26816, 26161, 25651, 26015, 26407, 26407, 25912, 26623, 25203, 25370, 25491, 26555, 26216, 26518, 25947, 25224, 25458, 26357, 25851, 26413, 26123, 26117, 27149, 26362, 26507, 26526, 26187, 26156, 25778, 26104, 26636, 26114, 27066, 25650, 26576, 26967, 27088, 26757, 26508, 26529, 25944, 26462, 26618, 26306, 26600, 25972, 25689, 26528, 26371, 26613]"
