threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,average_operations_per_thread
1,0,5.000000476837158,3237382.0,1624516.0,3160253.0,1573852.0,1499230.0,746488.0,7896865.0,True,[7896865.0]
2,0,5.000002384185791,2373651.0,1209805.0,2365149.0,1159972.0,1120547.0,549564.0,5859347.0,True,"[2789298.0, 3070049.0]"
4,0,5.000013828277588,868684.0,453166.0,841409.0,402347.0,399050.0,191145.0,2109143.0,True,"[529523.0, 539891.0, 467062.0, 572667.0]"
8,0,5.000024795532227,541459.0,292666.0,526534.0,242077.0,249395.0,114914.0,1317388.0,True,"[159369.0, 153961.0, 154792.0, 161109.0, 178507.0, 186889.0, 161758.0, 161003.0]"
10,0,5.000045299530029,550048.0,297218.0,537958.0,246822.0,254343.0,116415.0,1342349.0,True,"[124444.0, 127588.0, 129291.0, 132479.0, 134811.0, 137500.0, 126451.0, 129732.0, 152360.0, 147693.0]"
20,0,5.000038146972656,596227.0,319706.0,581508.0,269163.0,274962.0,127958.0,1452697.0,True,"[67904.0, 70592.0, 70426.0, 68732.0, 64746.0, 74537.0, 69808.0, 70774.0, 80197.0, 76554.0, 72509.0, 76020.0, 79645.0, 75868.0, 79216.0, 68901.0, 77945.0, 67768.0, 74534.0, 66021.0]"
40,0,5.000117301940918,619292.0,330857.0,602697.0,280169.0,284686.0,132194.0,1506675.0,True,"[37187.0, 36153.0, 36523.0, 36905.0, 36609.0, 36801.0, 36844.0, 36289.0, 37394.0, 37904.0, 36903.0, 36824.0, 36625.0, 38303.0, 37764.0, 36855.0, 37603.0, 37433.0, 37318.0, 36267.0, 36972.0, 37550.0, 39506.0, 37540.0, 37616.0, 37773.0, 39729.0, 37099.0, 37681.0, 38941.0, 39019.0, 38309.0, 38271.0, 37348.0, 38183.0, 38993.0, 38726.0, 39348.0, 38866.0, 38701.0]"
64,0,5.000467777252197,609922.0,326450.0,592857.0,275800.0,280582.0,130432.0,1483361.0,True,"[21808.0, 22801.0, 23430.0, 23416.0, 22587.0, 23256.0, 22514.0, 22946.0, 23350.0, 22007.0, 23305.0, 22920.0, 22206.0, 23420.0, 23367.0, 23350.0, 22607.0, 22640.0, 23047.0, 23267.0, 22797.0, 23549.0, 23328.0, 23430.0, 23648.0, 23231.0, 23372.0, 23460.0, 23112.0, 23548.0, 23805.0, 23383.0, 23292.0, 23372.0, 23056.0, 22430.0, 23318.0, 23720.0, 23874.0, 23553.0, 23830.0, 23136.0, 22732.0, 23540.0, 23011.0, 23151.0, 23000.0, 22694.0, 23149.0, 23550.0, 23488.0, 23424.0, 23839.0, 23507.0, 23129.0, 23964.0, 23351.0, 22492.0, 22841.0, 22839.0, 23615.0, 23424.0, 22951.0, 23182.0]"
