threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,5.000000476837158,3075942,1544730,3002845,1494207,1424580,708930,7503367,1,[7503367]
2,0,0,5.000000953674316,1735943,883249,1696398,832758,803942,394742,4236283,1,"[2065090, 2171193]"
4,0,0,5.000008583068848,798690,419438,776949,368990,368467,175025,1944106,1,"[503381, 476766, 518674, 445285]"
8,0,0,5.000010967254639,638064,340543,621711,289722,295010,138022,1554785,1,"[201376, 193839, 202492, 188432, 187136, 196927, 191475, 193108]"
10,0,0,5.000041484832764,642347,341823,623520,291203,296139,138317,1562006,1,"[161591, 150670, 163211, 149088, 145534, 149777, 161635, 158072, 159209, 163219]"
20,0,0,5.0000481605529785,622316,331500,603931,281021,286787,133111,1513034,1,"[71432, 70901, 80888, 72252, 72320, 78817, 79959, 76967, 78150, 79375, 72915, 73031, 71889, 78113, 77926, 78832, 79232, 73232, 72998, 73805]"
40,0,0,5.000107765197754,609870,326646,592967,276062,281034,130798,1483871,1,"[38599, 38074, 38325, 35435, 35854, 38253, 38701, 38123, 38036, 38505, 35472, 35532, 35672, 39285, 38325, 36196, 38608, 35601, 36011, 35174, 37670, 38035, 35035, 39297, 38167, 35353, 35700, 34802, 38687, 35671, 38728, 38317, 39025, 37937, 34643, 36018, 38670, 38763, 35462, 34110]"
64,0,0,5.00016450881958,595570,319149,579649,268570,274373,127338,1449592,1,"[23508, 23328, 23538, 22452, 22893, 23557, 23217, 22813, 22760, 22882, 22327, 22680, 23215, 22071, 23228, 21519, 23638, 23044, 22942, 22151, 22352, 23130, 22945, 23303, 22555, 22245, 21557, 22521, 22092, 23337, 22100, 22457, 22020, 22328, 22358, 22377, 22860, 22052, 23238, 22397, 23095, 22225, 22881, 22962, 22600, 22288, 22618, 22234, 23120, 21789, 22073, 22439, 22391, 23352, 22071, 22764, 22126, 23078, 21900, 23038, 22307, 22862, 22856, 22536]"
