threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.000000476837158,3375775,1692603,3294959,1642003,1563282,778647,8234016
2,0,5.000007629394531,2181576,1098547,2107376,1047998,999215,496824,5288167
4,0,5.000015735626221,762570,401807,740042,350923,351172,166002,1853784
8,0,5.000033855438232,690180,366034,672006,315143,318602,149292,1680788
