threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.000000476837158,3186147,1599257,3110600,1548849,1475805,734744,7772552
2,0,5.000002861022949,3025153,1532252,3002142,1482123,1424816,703585,7452111
4,0,5.000004768371582,858608,449308,834646,398600,395077,188398,2088331
8,0,5.000021457672119,744930,393228,726035,343014,343682,162310,1814647
10,0,5.000029563903809,658248,349978,639925,299220,302817,141865,1600990
