threads,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,5.000000953674316,3181805.0,1597139.0,3106373.0,1546741.0,1473831.0,733804.0,7762009.0
2,5.0000104904174805,1360189.0,702712.0,1350029.0,652489.0,640089.0,309008.0,3350307.0
4,5.0000104904174805,704663.0,372879.0,685853.0,322166.0,325895.0,153764.0,1716411.0
8,5.000030517578125,597220.0,319849.0,581802.0,269135.0,275976.0,128099.0,1454998.0
10,5.000027656555176,644900.0,343785.0,629667.0,293416.0,298930.0,139655.0,1573497.0
20,5.000046730041504,639871.0,341365.0,622791.0,290950.0,294734.0,137837.0,1557396.0
40,5.000096797943115,624229.0,332825.0,606045.0,282329.0,287155.0,133762.0,1517429.0
