threads,repetition,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.000000238418579,848720,444625,827139,394054,392016,186538,2067875
2,0,1.0000016689300537,730598,386282,711683,335687,337100,158877,1779381
4,0,1.000022530555725,616957,329989,600252,279264,284237,132021,1501446
8,0,1.0002535581588745,512020,277902,497252,227352,235504,107569,1244776
10,0,1.001138687133789,501687,273285,487701,222607,230846,105093,1220234
20,0,1.0000908374786377,518651,275222,504655,236063,239132,111801,1262438
40,0,1.0005507469177246,485292,255290,471676,222753,223434,106256,1180402
64,0,1.0005265474319458,464153,243442,451558,213966,213519,100842,1129230
