threads,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,1.0000005960464478,441239.0,242839.0,428775.0,192109.0,202909.0,91121.0,1072923.0
2,1.0000015497207642,480727.0,262606.0,467519.0,212068.0,220795.0,100212.0,1169041.0
4,1.0000038146972656,382506.0,214371.0,371951.0,163806.0,176058.0,77388.0,930515.0
8,1.0000241994857788,237865.0,142997.0,232626.0,92783.0,109354.0,43796.0,579845.0
10,1.000035047531128,283863.0,165427.0,275612.0,114987.0,130352.0,54521.0,689827.0
20,1.004473328590393,311015.0,178880.0,302586.0,128384.0,142684.0,60759.0,756285.0
40,1.0002634525299072,313913.0,180154.0,304426.0,129490.0,144453.0,61865.0,762792.0
64,1.0013611316680908,281984.0,165107.0,274695.0,114494.0,129447.0,54398.0,686126.0
