threads,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,average_operations_per_thread
1,0,1.0000003973642986,918018.6666666666,479363.6666666667,897043.0,428963.0,426147.6666666667,203578.0,2241209.3333333335,[2241209.3333333335]
2,0,1.0000012318293254,531682.6666666666,287884.6666666667,518336.0,237262.33333333334,246011.33333333334,113127.66666666667,1296030.0,"[648411.3333333334, 647618.6666666666]"
4,0,1.0000052849451702,324052.6666666667,185649.0,316374.0,135231.66666666666,150129.0,64090.666666666664,790555.6666666666,"[169463.0, 233251.66666666666, 107490.33333333333, 280350.6666666667]"
8,0,1.0000197490056355,243581.0,145640.33333333334,237238.33333333334,95453.66666666667,112766.0,45337.0,593585.3333333334,"[43361.666666666664, 156246.66666666666, 138288.66666666666, 127948.66666666667, 11944.333333333334, 34445.333333333336, 17925.333333333332, 63424.666666666664]"
10,0,1.0000230471293132,221096.66666666666,134347.33333333334,215604.0,84490.0,102501.66666666667,40440.333333333336,539202.3333333334,"[55260.333333333336, 89639.0, 26190.0, 33214.666666666664, 34380.333333333336, 7074.0, 167581.0, 94033.66666666667, 15583.666666666666, 16245.666666666666]"
20,0,1.0000714858373005,355285.3333333333,200786.66666666666,346065.6666666667,150144.0,164766.0,71646.0,866117.0,"[14001.333333333334, 355961.6666666667, 2986.0, 3356.6666666666665, 3122.0, 51316.333333333336, 357745.0, 2321.3333333333335, 72.0, 720.6666666666666, 1268.0, 342.3333333333333, 2956.0, 428.0, 1983.0, 47990.666666666664, 1820.0, 1172.0, 435.0, 16119.0]"
40,0,1.000166932741801,304293.6666666667,175590.66666666666,296463.0,125144.33333333333,140909.0,59444.666666666664,741665.6666666666,"[1707.6666666666667, 29642.0, 2380.3333333333335, 3784.3333333333335, 85425.66666666667, 84093.66666666667, 100747.66666666667, 1790.3333333333333, 191.0, 2127.6666666666665, 1445.0, 1743.6666666666667, 1164.0, 122.66666666666667, 1350.3333333333333, 77009.66666666667, 4275.0, 94293.66666666667, 4185.333333333333, 51915.0, 643.3333333333334, 1678.0, 80667.66666666667, 862.3333333333334, 6608.666666666667, 165.66666666666666, 810.3333333333334, 169.66666666666666, 1100.3333333333333, 189.66666666666666, 206.0, 610.0, 29310.666666666668, 43903.666666666664, 718.3333333333334, 1478.3333333333333, 354.3333333333333, 193.33333333333334, 21794.666666666668, 806.0]"
64,0,1.000329891840617,233823.0,140530.33333333334,227686.0,90396.33333333333,108355.66666666667,43133.0,569864.6666666666,"[68648.0, 1653.0, 35936.0, 45941.333333333336, 62334.333333333336, 63457.0, 75646.33333333333, 12790.333333333334, 832.3333333333334, 684.0, 224.33333333333334, 2339.0, 9177.0, 29.666666666666668, 481.6666666666667, 51383.0, 2041.0, 7902.0, 578.0, 2314.6666666666665, 344.3333333333333, 1662.3333333333333, 264.0, 445.6666666666667, 52117.0, 1053.0, 70.66666666666667, 121.33333333333333, 844.3333333333334, 288.6666666666667, 232.66666666666666, 1361.6666666666667, 209.0, 210.66666666666666, 663.3333333333334, 1100.3333333333333, 1248.3333333333333, 30936.0, 94.33333333333333, 650.6666666666666, 557.6666666666666, 1930.3333333333333, 787.6666666666666, 771.0, 932.6666666666666, 3215.3333333333335, 747.0, 1288.0, 68.33333333333333, 385.0, 1729.6666666666667, 291.6666666666667, 2451.6666666666665, 2889.6666666666665, 1887.6666666666667, 361.6666666666667, 7973.333333333333, 89.66666666666667, 512.6666666666666, 254.0, 607.6666666666666, 906.0, 739.3333333333334, 175.66666666666666]"
