threads,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,5.000000476837158,1721809.0,875524.0,1678621.0,824651.0,797300.0,391701.0,4197730.0
2,5.000001907348633,1343467.0,688663.0,1310676.0,638200.0,621677.0,302491.0,3275820.0
4,5.000005722045898,1209601.0,623031.0,1179285.0,572366.0,558578.0,271201.0,2947464.0
8,5.000453472137451,1017974.0,528221.0,991943.0,477590.0,470822.0,226933.0,2480739.0
10,5.007778644561768,917904.0,478162.0,894496.0,427399.0,424578.0,203316.0,2236978.0
20,5.004068851470947,741779.0,390875.0,721629.0,340643.0,342057.0,162208.0,1805465.0
40,5.018616676330566,778689.0,410558.0,760987.0,360151.0,360268.0,170530.0,1899944.0
64,5.008107662200928,734201.0,387399.0,714078.0,336823.0,338763.0,159954.0,1787042.0
