threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,5.0,4698128,2344370,4582448,2293582,2177231,1089245,11457807,1,[11457807]
1,1,0,5.000000476837158,4708130,2349310,4592093,2298449,2181822,1091599,11482045,1,[11482045]
1,2,0,5.0,4142574,2069988,4039518,2019286,1920216,959532,10102308,1,[10102308]
2,0,0,5.000002384185791,1488936,760756,1454609,710112,688473,337288,3632018,1,"[1720140, 1911878]"
2,1,0,5.000003337860107,1240592,636893,1208884,586092,572767,278119,3022243,1,"[1314301, 1707942]"
2,2,0,5.000001907348633,1190921,613200,1162857,562589,550495,266592,2904273,1,"[1649402, 1254871]"
4,0,0,5.000003814697266,1063408,551069,1037135,500523,490997,236631,2591540,1,"[795060, 186543, 864508, 745429]"
4,1,0,5.000004768371582,1021239,529189,994488,478749,470805,226880,2486532,1,"[803791, 215856, 791981, 674904]"
4,2,0,5.000006675720215,1016178,528039,991874,477267,470324,226176,2478376,1,"[792595, 229279, 784297, 672205]"
8,0,0,5.000021457672119,1243913,640350,1214989,590038,576449,280296,3035351,1,"[597802, 688311, 154391, 55275, 714341, 255505, 14359, 555367]"
