threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,5.0,2737616,1376791,2670470,1326164,1269689,630743,6677775
2,0,5.000001430511475,2500055,1260983,2444312,1210701,1158212,574335,6102579
4,0,5.000004291534424,1723797,877366,1683531,826720,798586,392490,4205914
8,0,5.000019550323486,1531953,781505,1493461,730976,707722,346872,3733136
10,0,5.013996601104736,1082578,559545,1056484,508844,500942,241670,2640004
20,0,5.006035804748535,932459,486309,909239,435807,431695,206220,2273393
40,0,5.001509666442871,965214,502239,940990,451790,446107,213788,2352311
64,0,5.000375747680664,1140721,589049,1111491,538392,526057,255026,2778269
