threads,repetitions_per_point,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations
1,0,1.000000238418579,203031,123524,184285,72191,1455327,571804,1842643
2,0,1.0000005960464478,222899,133279,201228,81433,1590070,643299,2014197
4,0,1.0000157356262207,210322,126875,190292,75263,1500738,595299,1901352
8,0,1.0000182390213013,189384,116814,171020,65659,1350008,518553,1710412
10,0,1.000063180923462,134130,88895,120503,40493,949745,317521,1204378
20,0,1.00009286403656,91797,66272,82721,22826,651669,181552,826187
40,0,1.000259518623352,83373,61468,73901,19523,589389,154948,746663
64,0,1.000316858291626,82406,60943,73439,19099,580886,151561,736731
